idx,nombre,correo,direccion,plataforma,web,estado,fecha,error
"0","Twelve Padel Zenter Vigo","12padelzenter@gmail.com","Estrada Fragosiño, 30, Sárdoma, 36214 Vigo","Playtomic / App Propia","http://www.twelvepadelzenter.com/","ok","2026-08-10T21:08:33.483Z",""
"1","Máster Pádel Zenter","12padelzenter@gmail.com","Rúa de Saá do Monte, 15, 36312 Vigo","Playtomic / App Propia","N/A (Grupo Twelve)","ok","2026-08-10T21:08:50.527Z",""
"2","Ipadel Fitness | Sport Club","info@ipadelfitness.es","Avenida de Puxeiros, 86, Cabral, 36416 Mos","Playtomic / Web Propia","https://ipadelfitness.es/","ok","2026-08-10T21:08:56.045Z",""
"3","Win Pádel Club","info@winpadelclub.com","Av. da Ponte, 80, Cabral, 36215 Vigo","Playtomic","https://winpadelclub.com/","ok","2026-08-10T21:10:20.469Z",""
"4","Vigo Pádel","info@vigopadel.com","Estrada Ponte Segade-Sárdoma, 29, 36214 Vigo","Playtomic / Web Propia","http://www.vigopadel.com/","ok","2026-08-10T21:09:01.753Z",""
"5","ARENGA PADEL CLUB","info@arenga.es","Camiño da Devesa, 1, Sárdoma, 36214 Vigo","Playtomic","http://www.arenga.es/","ok","2026-08-10T21:09:07.201Z",""
"6","Indoorvigo club de padel","indoor@indoorvigo.com","Camiño Gandariña, 19, Nave 6, Lavadores, 36214 Vigo","Web Propia / Teléfono","http://www.indoorvigo.com/","ok","2026-08-10T21:09:12.673Z",""
"7","Rec Fitness & Padel Club","recfitnesspadel@gmail.com","Cño. do Caramuxo, 52, 36213 Vigo","Playtomic","http://www.recfitness.es/","ok","2026-08-10T21:09:18.281Z",""
"8","Máis que Auga Barreiro","barreiro@maisqueauga.com","Rúa de Barreiro, 99, 36214 Vigo","Playtomic / Web Propia","https://maisqueauga.com/","ok","2026-08-10T21:09:23.631Z",""
"9","Máis que Auga Navia","navia@maisqueauga.com","Rúa de Lamelas, s/n, 36212 Vigo","Playtomic / Web Propia","https://maisqueauga.com/","ok","2026-08-10T21:09:29.336Z",""
"10","Círculo Cultural Mercantil e Industrial de Vigo","circulomercantilvigo@gmail.com","Estrada das Plantas, 121, 36214 Vigo","App Socios / Zona No Socios Web","https://circulomercantilvigo.com/","ok","2026-08-10T21:14:36.916Z",""
"11","Real Club Náutico de Vigo (Instalaciones Los Abetos)","padel@rcnauticovigo.com","Camiño dos Abetos, s/n, 36350 Priegue, Nigrán","Gestión Interna Socios / Teléfono","http://www.rcnauticovigo.com/","ok","2026-08-10T21:14:42.562Z",""
"12","Club de Campo de Vigo","info@clubdecampodevigo.com","Estrada de Canido, 95, Coruxo, 36331 Vigo","Exclusivo Socios / Teléfono","https://www.clubdecampodevigo.com/","ok","2026-08-10T21:09:45.661Z",""
"13","URECA ABANCA","oficina@ureca.es","Avenida Manuel Lemos, 124, 36379 Nigrán","App Reservas URECA / Web","https://www.ureca.es/","ok","2026-08-10T21:09:51.493Z",""
"14","Complexo Deportivo de Samil (Municipal IMD)","concelleriadeportes@vigo.org","Avenida de Samil, 32, 36212 Vigo","Web Concello de Vigo (IMD) / Teléfono","https://deportes.vigo.org/","ok","2026-08-10T21:09:57.008Z",""
