idx,nombre,correo,direccion,plataforma,web,estado,fecha,error
"0","Vall Parc","info@vallparc.com","Carretera de l'Arrabassada, 107-127, 08035 Barcelona","Playtomic / Web Propia","https://www.vallparc.com/","ok","2026-08-13T05:49:43.166Z",""
"1","Nick Club Pádel Barcelona","hola@nickpadel.com","Carrer de Campoamor, 66, 08031 Barcelona","Playtomic","https://www.nickpadel.com/","ok","2026-08-13T05:49:48.640Z",""
"2","Artós Sports Club","info@artossportsclub.com","Carrer dels Vergós, 67, 08017 Barcelona","Web Propia / WhatsApp","https://artossportsclub.com/","ok","2026-08-13T05:49:54.093Z",""
"3","Indoor Pádel Barcelona (22@)","gerencia@ipadelbarcelona.com","Carrer de Veneçuela, 78, 08019 Barcelona","App Propia / Web","https://www.ipadelbarcelona.com/","ok","2026-08-13T05:49:59.536Z",""
"4","Uno Padel Teixonera","","Carrer de la Granja Vella, 10, 08035 Barcelona","Playtomic","https://www.unopadel.com/","sin-correo","2026-08-13T05:50:04.052Z","email inválido o vía web"
"5","Padel 7 Sant Andreu","padel7esportiu@gmail.com","Carrer de Bonaventura Gispert, 1, 08020 Barcelona","Web Propia / Teléfono","https://padel7santmarti.com/","ok","2026-08-13T05:50:04.985Z",""
"6","Padel 7 Sant Martí","padel7esportiu@gmail.com","Carrer de Puigcerdà, 111, 08019 Barcelona","Web Propia / Teléfono","https://padel7santmarti.com/","ok","2026-08-13T05:50:10.378Z",""
"7","Bela Padel Center Barcelona","info.bcn@belapadelcenter.com","Avinguda del Parc Logístic, 28, 08040 Barcelona","Playtomic","https://belapadelcenter.com/","ok","2026-08-13T05:50:15.797Z",""
"8","Padel Top Club (Top Padel Barcelona)","","Carretera del Mig, 39, 08907 L'Hospitalet de Llobregat","Playtomic","","sin-correo","2026-08-13T05:50:20.311Z","email inválido o vía web"
"9","Pàdel Indoor L'Hospitalet","info@padelindoorhospitalet.com","Carrer del Cobalt, 85, 08907 L'Hospitalet de Llobregat","Web Propia / Playtomic","https://padelindoorhospitalet.com/","fallo","2026-08-13T05:50:20.848Z","Data command failed: 550-5.4.5 Daily user sending limit exceeded. For more information on Gmail
550-5.4.5 sending limits go to
550 5.4.5  https://support.google.com/a/answer/166852 5b1f17b1804b1-49981b631c1sm81639975e9.14 - gsmtp"
