idx,nombre,correo,direccion,plataforma,web,estado,fecha,error
"0","Indie Padel Club","info@indiepadelclub.es","Avenida de la Democracia, 11, 28031 Madrid","Playtomic","https://www.indiepadelclub.es/","ok","2026-08-13T05:46:12.275Z",""
"1","PadelSpirit Club","info@padelspiritclub.es","Calle Pirotecnia, 59, 28052 Madrid","Web Propia / Teléfono","https://www.padelspiritclub.es/","ok","2026-08-13T05:46:17.715Z",""
"2","Madrid Central Pádel","recepcion@madridcentralpadel.com","Calle de Boyer, 20 y 28, 28052 Madrid","Playtomic","https://madridcentralpadel.com/","ok","2026-08-13T05:46:23.170Z",""
"3","Blue Padel Rivas","recepcion@bluepadelrivas.es","Calle Profesores Fuster y Menéndez, s/n, 28521 Rivas-Vaciamadrid","Playtomic","https://www.bluepadelrivas.com/","ok","2026-08-13T05:46:28.663Z",""
"4","Euroindoor Alcorcón","info@euroindoorpadel.com","Calle Los Pintores, 6-7, Pol. Urtinsa, 28923 Alcorcón","Playtomic","https://euroindoorpadel.es/","ok","2026-08-13T05:46:34.190Z",""
"5","M3 Padel Center (Leganés)","info@m3padelacademy.com","Calle Delco, 5, 28914 Leganés","Web Propia / Teléfono","https://m3padelcenter.com/","ok","2026-08-13T05:46:40.239Z",""
"6","Pádel Norte (Alcobendas)","info@padelnorte.com","Calle de los Aragoneses, 8, 28108 Alcobendas","Playtomic","https://www.padelnorte.com/","ok","2026-08-13T05:46:45.772Z",""
"7","Vim Pádel Indoor (Barajas)","info@vimpadel.com","Calle de Agosto, 3, 28022 Madrid","Playtomic","https://www.vimpadel.com/","ok","2026-08-13T05:46:51.295Z",""
"8","Ciudad de la Raqueta (BamVolea)","ciudadraqueta@ciudadraqueta.com","Calle Monasterio de El Paular, 2, 28049 Madrid","Playtomic","https://www.ciudadraqueta.com/","ok","2026-08-13T05:46:56.661Z",""
"9","Pádel Madrid Las Tablas (Municipal)","somos@lastablassports.club","Avenida Camino de Santiago, 25, 28050 Madrid","Web Ayuntamiento / Teléfono","https://www.madrid.es/","ok","2026-08-13T05:47:02.031Z",""
