Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"A1 Pádel","","Rúa Galileo Galilei, 36, 15008, A Coruña","+34658923423","recepcion@a1-padel.com","https://padelizados.es/es-es/i/489-a1-padel/","N/A"
"0,0 Pádel","","Rúa Gutemberg, 30, 15008, A Coruña","+34981906000","ceroceropadel@gmail.com","https://padelizados.es/es-es/i/193-00-padel/","N/A"
"Apartamentos Canabal","","MERA OLEIROS, Rua Canabal, 1, 15177, A Coruña","+34667282812","ronaldcanabal@gmail.com","https://padelizados.es/es-es/i/1212-apartamentos-canabal/","N/A"
"Padel Feáns Gorrión","","Carr. de Feáns, 170, 15190, A Coruña","+34981101010","padelfeans@hotmail.com","https://padelizados.es/es-es/i/303-padel-feans-gorrion/","N/A"
"Pádel & Beer","","Avenida Finisterre, 269, 15008, A Coruña","+34698111282","padelandbeer@gmail.com","https://padelizados.es/es-es/i/253-padel-beer/","N/A"
"Arena Padel","","Rúa Alcalde Jaime Hervada, 27, 15010, A Coruña","+34681391352","arenapadel2.0@gmail.com","https://padelizados.es/es-es/i/285-arena-padel/","N/A"
"Coruña Sport Centre","","R. Enrique Mariñas Romero, 32, F, 15009, A Coruña","+34981100213","patri@tex45.es","https://padelizados.es/es-es/i/558-coruna-sport-centre/","N/A"
"miclub pádel","","Rúa do Cobre, parcela B2. Polígono industrial de, 15100, A Coruña","+34619688822","","https://padelizados.es/es-es/i/521-miclub-padel/","N/A"
"I&CO Padel Center","","Polígono de la Madanela, pabellones 6,7,8, 15800, A Coruña","+34682711966","","https://padelizados.es/es-es/i/1459-ico-padel-center/","N/A"
"Padel Court - UDC","","15008, A Coruña","","","https://padelizados.es/es-es/i/1433-padel-court-udc/","N/A"
"Padelprix Coruña","","Rúa Brasil, 6, 15140, Arteixo","+34678660009"," info@padelprix.com","https://padelizados.es/es-es/i/434-padelprix-coruna/","N/A"
"AC PÁDEL CORUÑA","","Rúa Polígono, 21, 15679, Cambre","+34604057932","","https://padelizados.es/es-es/i/355-ac-padel-coruna/","N/A"
"Padel Plus","","Rúa José Espronceda, s/n, 15180, Culleredo","+34981651235","contacto@ejemplo.com","https://padelizados.es/es-es/i/246-padel-plus/","N/A"
"Padel Marineda","","Rúa Lendoiro, 15660, Cambre","+34981653704","","https://padelizados.es/es-es/i/1099-padel-marineda/","N/A"
"BeOne Arteixo","","Av. Arsenio Iglesias, s/n, 15142, Arteixo","+34981633444","","https://padelizados.es/es-es/i/883-beone-arteixo/","N/A"
"Complexo Deportivo Carral","","Rúa Belvís de Paleo, 17, 15175, Carral","+34678338847","","https://padelizados.es/es-es/i/1446-complexo-deportivo-carral/","N/A"
"Padelprix Cerceda","","Campo de Fútbol O Roxo, Lugar Piñeiro, 58, 15185, Cerceda","+34677428652","cerceda@padelprix.com","https://padelizados.es/es-es/i/1063-padelprix-cerceda/","N/A"
"CENTRO DE PADEL SAN MATEO","","Lugar De la Iglesia s/n parroquia de San Mateo, 15570, Narón","+34981102103","","https://padelizados.es/es-es/i/1118-centro-de-padel-san-mateo/","N/A"
"3D3 Padel","","Rúa Cobre, parcela H-19, 15107, Carballo","+34680438692","info@3d3padel.com","https://padelizados.es/es-es/i/382-3d3-padel/","N/A"
