Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"AN Padel Indoor","","C. Pintor Rosales, 12, 03009, Alicante","+34640866265","anpadelindoor@hotmail.com","https://padelizados.es/es-es/i/155-an-padel-indoor/","N/A"
"Padel Club Alacant","","Av. de Neptuno, 16, 03007, Alicante","+34965287715","admin@wetelecom.es","https://padelizados.es/es-es/i/130-padel-club-alacant/","N/A"
"Deportes Match","","Calle Dr. Isidoro de Sevilla, 86, 03009, Alicante","+34965420082","info@deportesmatch.com","https://padelizados.es/es-es/i/748-deportes-match/","N/A"
"Sportclub Alicante - Gimnasio y club deportivo familiar al aire libre","","Partida de Orgegia, s/n, 03015, Alicante","+34966613906","info@sportclubalicante.com","https://padelizados.es/es-es/i/733-sportclub-alicante-gimnasio-y-club-deportivo-familiar-al-aire-libre/","N/A"
"Club Atlético Montemar","","Carrer Virgili, 25, 03016, Alicante","+34965159426","info@camontemar.com","https://padelizados.es/es-es/i/55-club-atletico-montemar/","N/A"
"Club Deportivo Arena Alicante","","Av. del Locutor Vicente Hipólito, s/n, 03540, Alicante","+34965943406","info@arenaalicante.com","https://padelizados.es/es-es/i/92-club-deportivo-arena-alicante/","N/A"
"Pàdel Prèmium Alacant","","C. Sagitario, 3, 03006, Alicante","+34654558539","","https://padelizados.es/es-es/i/250-padel-premium-alacant/","N/A"
"Bela Padel Center Alicante","","Av. del Locutor Vicente Hipólito, S/N, 03540, Alicante","+34638928847","info.alicante@belapadelcenter.com","https://padelizados.es/es-es/i/1135-bela-padel-center-alicante/","N/A"
"PADELUXE EXPERIENCE","","Carrera l'del Asteroide, 32, 03007, Alicante","+34699915601","","https://padelizados.es/es-es/i/519-padeluxe-experience/","N/A"
"Padel Nostrum Alicante","","Av. Mare Nostrum, 6, 03007, Alicante","+34633882525","cpnostrum@gmail.com","https://padelizados.es/es-es/i/1131-padel-nostrum-alicante/","N/A"
"Club Deportivo Stadio Alicante","","Calle Arpón, C. Trident, s/n, 03540, Alicante","+34965150969","","https://padelizados.es/es-es/i/314-club-deportivo-stadio-alicante/","N/A"
"Pedreguer Pàdel Cobert","","Av. les Indústries, 28, 03750, Alicante","+34615377568","pedreguerpadelcobert@gmail.com","https://padelizados.es/es-es/i/1217-pedreguer-padel-cobert/","N/A"
"Club de Tenis Alacant","","C. Med Jorge Serrano Mate, 21, 03112, Alicante","+34679014766","iner@inerenergia.es","https://padelizados.es/es-es/i/462-club-de-tenis-alacant/","N/A"
"Club De Tenis Ch2 La Marina | Tennis & Padel","","Sendero de la Barrina, s/n, 03580, Alicante","+34622674996","chcontreras@ch2racket.com","https://padelizados.es/es-es/i/1294-club-de-tenis-ch2-la-marina-tennis-padel/","N/A"
"Club social Padel Pau 5","","Av. Conrado Albaladejo, 46, 03540, Alicante","+34626029602","","https://padelizados.es/es-es/i/943-club-social-padel-pau-5/","N/A"
"Piscina Cubierta Municipal Villajoyosa &quot;El pantà&quot;","","Partida Alcocons, s/n, 03570, Alicante","+34655140799","","https://padelizados.es/es-es/i/1405-piscina-cubierta-municipal-villajoyosa-el-panta/","N/A"
"Spain Padel Experiences","","C. Arpón, 13, 03540, Alicante","+34641374661","contact@spainpadelexperiences.com","https://padelizados.es/es-es/i/1081-spain-padel-experiences/","N/A"
"Club Atlético Montemar","","Av. del Padre Esplá, 40, 03013, Alicante","+34965202570","info@camontemar.com","https://padelizados.es/es-es/i/972-club-atletico-montemar/","N/A"
