Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Section Tennis Club Swimming Almería","","Cam. Jaúl Bajo, 3, 04007, Almería","+34950222579","info@cnalmeria.com","https://padelizados.es/es-es/i/178-section-tennis-club-swimming-almeria/","N/A"
"ProPadel Indoor Club","","C. Benitagla, 42, 04007, Almería","+34613954095","propadelindoorclub@gmail.com","https://padelizados.es/es-es/i/1119-propadel-indoor-club/","N/A"
"Padel Club Indoor El Ejido","","Pol. Ind. la Redonda, Dentro de Club de Padel Indoor, C. III, 45, 04710, Almería","+34672835898","","https://padelizados.es/es-es/i/436-padel-club-indoor-el-ejido/","N/A"
"Club de Mar Almería","","C. Ángel Jover, 1, 04007, Almería","+34950230780","cmaac@clubdemaralmeria.es","https://padelizados.es/es-es/i/534-club-de-mar-almeria/","N/A"
"Padel Aguadulce","","Pl. Caribe, 2, 04720, Almería","+34608819955","clubdepadelaguadulce48@gmail.com","https://padelizados.es/es-es/i/425-padel-aguadulce/","N/A"
"Colors Padel","","Av. de la Cruz, 11, 04008, Almería","+34653482895","","https://padelizados.es/es-es/i/444-colors-padel/","N/A"
"Liceo Sport Club","","12 bis, C. Adolfo Marsillach, 12, 04007, Almería","+34673575080","","https://padelizados.es/es-es/i/1372-liceo-sport-club/","N/A"
"Escuela Pádel Almería","","C. Benitagla, 42, 04007, Almería","+34639452925","escuelapadelalmeria@gmail.com","https://padelizados.es/es-es/i/1112-escuela-padel-almeria/","N/A"
"Padel Juan","","04140,, Almería","","","https://padelizados.es/es-es/i/1604-padel-juan/","N/A"
"ALMERIA TENNIS CLUB","","Av. de la Alpujarra, 5, 04230, Huércal de Almería","+34950300104","deportes@clubdetenisalmeria.com","https://padelizados.es/es-es/i/275-almeria-tennis-club/","N/A"
"Plaza Caribe","","C. Cerezo, 0, 04720, Aguadulce","+34950550210","","https://padelizados.es/es-es/i/1010-plaza-caribe/","N/A"
"Municipal Pool El Parador - CDU Juan González Fernández","","Camino de la piscina, s/n, 04740, Roquetas de Mar","+34950343828","","https://padelizados.es/es-es/i/1133-municipal-pool-el-parador-cdu-juan-gonzalez-fernandez/","N/A"
"La Cubierta Padel","","C. Plateros, 4, 04738, Vícar","+34950100323","lacubiertapadel@gmail.com","https://padelizados.es/es-es/i/330-la-cubierta-padel/","N/A"
