Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Vall Parc: Club de Padel y Tenis en Barcelona","","Carretera de l' Arrabassada, 107, 127, 08035, Barcelona","+34932126789","info@vallparc.com","https://padelizados.es/es-es/i/64-vall-parc-club-de-padel-y-tenis-en-barcelona/","N/A"
"David Lloyd Turó","","Av. Diagonal, 673-685, 08028, Barcelona","+34933342012","Barcelona@davidlloyd.es","https://padelizados.es/es-es/i/605-david-lloyd-turo/","N/A"
"DiR Campus","","Av. Dr. Marañón, 17, 08028, Barcelona","+34934484141","","https://padelizados.es/es-es/i/588-dir-campus/","N/A"
"Munay Club Viladecans","","Cami Serral-llarg, 12, 08840, Barcelona","+34937969043","","https://padelizados.es/es-es/i/1127-munay-club-viladecans/","N/A"
"Nick Club Pàdel Barcelona","","Carrer de Campoamor, 66, 08031, Barcelona","+34605671355","sales@yoursite.com","https://padelizados.es/es-es/i/604-nick-club-padel-barcelona/","N/A"
"Bonasport Club Esportiu","","Carrer de Vista Bella, 11, 08022, Barcelona","+34932541500","","https://padelizados.es/es-es/i/158-bonasport-club-esportiu/","N/A"
"Fairplay Padel Club","","Carrer del Foc, 2, 08038, Barcelona","+34693525939","info@hostinger.fair","https://padelizados.es/es-es/i/67-fairplay-padel-club/","N/A"
"Diagonal DiR","","Carrer de Ganduxer, 25, 08021, Barcelona","+34932022202","","https://padelizados.es/es-es/i/584-diagonal-dir/","N/A"
"Nova Icària Esport & Fit","","Av. d'Icària, 167, 08005, Barcelona","+34932212580","sara@novaicaria.com","https://padelizados.es/es-es/i/226-nova-icaria-esport-fit/","N/A"
"Augusta Pàdel St. Cugat","","Av. de la Guinardera, 11 -13, 08174, Barcelona","+34630927501","","https://padelizados.es/es-es/i/87-augusta-padel-st--cugat/","N/A"
"Claror Can Caralleu Centre Esportiu","","Carrer dels Esports, 2, 8, 08017, Barcelona","+34932037874","","https://padelizados.es/es-es/i/603-claror-can-caralleu-centre-esportiu/","N/A"
"DiR Castillejos","","Carrer de los Castillejos, 388, 08025, Barcelona","+34933476644","","https://padelizados.es/es-es/i/576-dir-castillejos/","N/A"
"Putxet Sport","","Carrer de Marmellà, 23, 08023, Barcelona","+34931151990","info@essenciaputxet.com","https://padelizados.es/es-es/i/860-putxet-sport/","N/A"
"Club Tennis Barcino","","Plaça de Narcisa Freixas, 2, 08022, Barcelona","+34934170805","","https://padelizados.es/es-es/i/156-club-tennis-barcino/","N/A"
"Reial Societat de Tennis Pompeia","","Carrer de la Foixarda, 2, 16, 08038, Barcelona","+34933251348","administracion@rstpompeya.com","https://padelizados.es/es-es/i/211-reial-societat-de-tennis-pompeia/","N/A"
"DiR Hispà","","Carrer de Jorge Manrique, 15-19, 08035, Barcelona","+34934270050","info@dir.cat","https://padelizados.es/es-es/i/608-dir-hispa/","N/A"
"Artós Sports Club","","Carrer dels Vergós, 67, 08017, Barcelona","+34931162118","info@artossportsclub.com","https://padelizados.es/es-es/i/139-artos-sports-club/","N/A"
"FES PADEL Can Dragó","","Carrer de Rosselló i Pòrcel, 7, 08016, Barcelona","+34626738045","","https://padelizados.es/es-es/i/223-fes-padel-can-drago/","N/A"
"Club de Tennis i Pàdel Olímpia","","Carrer del Perú, 215, 08020, Barcelona","+34932662395","info@cemolimpia.com","https://padelizados.es/es-es/i/116-club-de-tennis-i-padel-olimpia/","N/A"
"Club Natació Sant Andreu","","Rambla de Fabra i Puig, 47, 08030, Barcelona","+34933456789","cursa@cnsantandreu.com","https://padelizados.es/es-es/i/591-club-natacio-sant-andreu/","N/A"
"CN Montjuïc","","Carrer del Segura, 36 | Accés peatonal per C/ De la Mare de Déu de port |, 08038, Barcelona","+34933318288","cnm@cnmontjuic.cat","https://padelizados.es/es-es/i/123-cn-montjuic/","N/A"
"Vip Pàdel Vilanova","","Can Rabassa, Camí de Vilassar, S/N, 08410, Barcelona","+34936394826","info@vippadelvilanova.com","https://padelizados.es/es-es/i/1128-vip-padel-vilanova/","N/A"
"Tennis Pineda Gavà","","Camí del Pinar, s/n, 08850, Barcelona","+34936330643","tenispineda@tenispineda.com","https://padelizados.es/es-es/i/272-tennis-pineda-gava/","N/A"
"Indoor Pàdel Barcelona","","Carrer de Veneçuela, 78, 08019, Barcelona","+34606091725","dpo.cliente@conversia.es","https://padelizados.es/es-es/i/937-indoor-padel-barcelona/","N/A"
"Spain Padel Experiences","","","+34641374661","contact@spainpadelexperiences.com","https://padelizados.es/es-es/i/570-spain-padel-experiences/","N/A"
"Meiland","","Carrer de la Maternitat d'Elna, 1, 08035, Barcelona","+34931767606","hola@meiland.es","https://padelizados.es/es-es/i/724-meiland/","N/A"
"CEM Maresme","","Carrer de Pallars, 484, 08019, Barcelona","+34933083553","info@cemmaresme.com","https://padelizados.es/es-es/i/1095-cem-maresme/","N/A"
"Padel Canet Club","","Carrer Riera d'en Misser, 08360, Barcelona","+34609619294","padelcanetclub@gmail.com","https://padelizados.es/es-es/i/668-padel-canet-club/","N/A"
"Pàdel Santa Susanna","","Carrer Lluis Maria Albin Sola, s/n, 08398, Barcelona","+34606121281","info@padelss.com","https://padelizados.es/es-es/i/334-padel-santa-susanna/","N/A"
"+Kpàdel","","Avinguda Madrid, 08711, Barcelona","+34602219810","nxxarcm@arcmultimedia.cat","https://padelizados.es/es-es/i/337-kpadel/","N/A"
"Liga de Pádel Barcelona","","Via Augusta, nº 147, 08021, Barcelona","+34633542663","hola@ligadepadelbarcelona.com","https://padelizados.es/es-es/i/1308-liga-de-padel-barcelona/","N/A"
"Siesports","","Carrer Quimica, Pol. Ind. Sant Vicenç, 16, 08755, Barcelona","+34695995327","siesports@siesports.cat","https://padelizados.es/es-es/i/461-siesports/","N/A"
"Pàdel Indoor Gironella","","Bassacs Carretera, 3B, 08680, Barcelona","+34623225887","Info@padelindoorgironella.cat","https://padelizados.es/es-es/i/1219-padel-indoor-gironella/","N/A"
"Unopadel - Meiland","","Carrer de la Maternitat d'Elna, 1, 08035, Barcelona","+34667162907","","https://padelizados.es/es-es/i/1241-unopadel-meiland/","N/A"
"Padelviu","","Carrer de Binèfar, 15, 08020, Barcelona","+34933054959","","https://padelizados.es/es-es/i/618-padelviu/","N/A"
