Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Club Deportivo Bilbao","","Alameda de Recalde, 28, 48009, Bilbao","+34944231108","colegio@neverscooperativa.es","https://padelizados.es/es-es/i/1266-club-deportivo-bilbao/","N/A"
"Club Deportivo Landabarri","","Gaztañatxu Kalea, 16, 48170, Etxebarri","+34687775683","","https://padelizados.es/es-es/i/1182-club-deportivo-landabarri/","N/A"
"Pádel Derio Club","","Larrauri Kalea, 1, 48160, Derio","+34944544732","padel@padelderio.com","https://padelizados.es/es-es/i/503-padel-derio-club/","N/A"
"Padel Pistak","","Santa Luzia Bidea, 5, 48180, Erandio","","","https://padelizados.es/es-es/i/1501-padel-pistak/","N/A"
"Padel Bizkaia - Zamudio","","Torrelaragoiti, 48170, Zamudio","+34607405958","info@padelbizkaia.com","https://padelizados.es/es-es/i/1274-padel-bizkaia-zamudio/","N/A"
"Bilbao Padel Indoor (BPI)","","Torrelaragoiti, 7A, 48170, Zamudio","+34675208533","","https://padelizados.es/es-es/i/427-bilbao-padel-indoor-bpi/","N/A"
"PADEL INDOOR CENTER | Club de Padel en Barakaldo-Bilbao |","","Kareaga K., 115, 48903, Barakaldo","+34672648438","tiendapadelpic@gmail.com","https://padelizados.es/es-es/i/129-padel-indoor-center-club-de-padel-en-barakaldo-bilbao-/","N/A"
"Padeltoki","","Polígono Granada, Pabellón I, 48530, Ortuella","+34946353644","info@padeltoki.com","https://padelizados.es/es-es/i/281-padeltoki/","N/A"
"Club de Tenis y Pádel Kaialde de Santurtzi","","Reina Victoria Ibilbidea, 48980, Santurtzi","","","https://padelizados.es/es-es/i/1077-club-de-tenis-y-padel-kaialde-de-santurtzi/","N/A"
"Fadura Indoor Padel Courts","","Salsidualde Estarta, 7, 48991, Getxo","","","https://padelizados.es/es-es/i/1511-fadura-indoor-padel-courts/","N/A"
"World Padel Gatika","","Naves 5-6, 48110, Mungia","+34658098600","","https://padelizados.es/es-es/i/920-world-padel-gatika/","N/A"
"Padelko","","Poligono industrial Tabernabarri n3 A1, 48215, Iurreta","+34608701437","info@padelko.com","https://padelizados.es/es-es/i/524-padelko/","N/A"
