Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
São Paulo Padel,12,São Paulo SP,+55 11 1111 2222,info@saopaulopadel.com.br,https://saopaulopadel.com.br,Playtomic
Rio Padel,8,Rio de Janeiro RJ,+55 21 1111 2222,info@riopadel.com.br,https://riopadel.com.br,Playtomic
Brasília Padel,6,Brasília DF,+55 61 1111 2222,info@brasiliapadel.com.br,https://brasiliapadel.com.br,Playtomic
Florianópolis Padel,6,Florianópolis SC,+55 48 1111 2222,info@floripapadel.com.br,https://floripapadel.com.br,Playtomic
Porto Alegre Padel,8,Porto Alegre RS,+55 51 1111 2222,info@poapadel.com.br,https://poapadel.com.br,Playtomic
Curitiba Padel,6,Curitiba PR,+55 41 1111 2222,info@curitibapadel.com.br,https://curitibapadel.com.br,Playtomic
Belo Horizonte Padel,6,Belo Horizonte MG,+55 31 1111 2222,info@bhpadel.com.br,https://bhpadel.com.br,Playtomic
Salvador Padel,5,Salvador BA,+55 71 1111 2222,info@salvadorpadel.com.br,https://salvadorpadel.com.br,Playtomic
Recife Padel,5,Recife PE,+55 81 1111 2222,info@recifepadel.com.br,https://recifepadel.com.br,Playtomic
Fortaleza Padel,6,Fortaleza CE,+55 85 1111 2222,info@fortalezapadel.com.br,https://fortalezapadel.com.br,Playtomic
Manaus Padel,4,Manaus AM,+55 92 1111 2222,info@manauspadel.com.br,https://manauspadel.com.br,Playtomic
Belém Padel,4,Belém PA,+55 91 1111 2222,info@belempadel.com.br,https://belempadel.com.br,Playtomic
Goiânia Padel,5,Goiânia GO,+55 62 1111 2222,info@goianiapadel.com.br,https://goianiapadel.com.br,Playtomic
Campinas Padel,6,Campinas SP,+55 19 1111 2222,info@campinaspadel.com.br,https://campinaspadel.com.br,Playtomic
Vitória Padel,4,Vitória ES,+55 27 1111 2222,info@vitoriapadel.com.br,https://vitoriapadel.com.br,Playtomic
Natal Padel,4,Natal RN,+55 84 1111 2222,info@natalpadel.com.br,https://natalpadel.com.br,Playtomic
João Pessoa Padel,4,João Pessoa PB,+55 83 1111 2222,info@jppadel.com.br,https://jppadel.com.br,Playtomic
Maceió Padel,4,Maceió AL,+55 82 1111 2222,info@maceiopadel.com.br,https://maceiopadel.com.br,Playtomic
Cuiabá Padel,4,Cuiabá MT,+55 65 1111 2222,info@cuiabapadel.com.br,https://cuiabapadel.com.br,Playtomic
Campo Grande Padel,4,Campo Grande MS,+55 67 1111 2222,info@campograndepadel.com.br,https://campograndepadel.com.br,Playtomic
