Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Padel Cadiz","","Vía de Alemania, S/N, 11011, Cádiz","+34618782911","","https://padelizados.es/es-es/i/1146-padel-cadiz/","N/A"
"Padel Indoor","","Poligono la Zorrera, Cádiz","+34683632476","","https://padelizados.es/es-es/i/746-padel-indoor/","N/A"
"Club Todopadel","","C. Francia, 12, 11519, Puerto Real","+34662674875","","https://padelizados.es/es-es/i/732-club-todopadel/","N/A"
"Puerto Sherry","","Av. de la Libertad, S/N, 11500, El Puerto de Santa María","+34956870103","reservas@hotelpuertosherry.com","https://padelizados.es/es-es/i/1123-puerto-sherry/","N/A"
"Club de Padel Puerto Sherry","","Av. de la Libertad, S/N, 11500, El Puerto de Santa María","+34637468253","","https://padelizados.es/es-es/i/208-club-de-padel-puerto-sherry/","N/A"
"Adesport Club Padel","","El Pinar, C. Teresa de Calcuta, 70, 11510, Puerto Real","+34694483300","","https://padelizados.es/es-es/i/602-adesport-club-padel/","N/A"
"+QPADEL","","C. Mecánicos, 5, 11100, San Fernando","+34647705157","","https://padelizados.es/es-es/i/402-qpadel/","N/A"
"ESCUELA DE PADEL LAS MARÍAS","","Sta. Maria de la Cabeza, s/n, 11500, El Puerto de Santa María","+34956859737","","https://padelizados.es/es-es/i/365-escuela-de-padel-las-marias/","N/A"
"club de padel la cancha","","A-491, KM. 21, 5, 11500, El Puerto de Santa María","+34682015090","","https://padelizados.es/es-es/i/762-club-de-padel-la-cancha/","N/A"
"Centro Deportivo Liceo","","Av. de la Marina, S/N, 11100, San Fernando","+34667457521","","https://padelizados.es/es-es/i/322-centro-deportivo-liceo/","N/A"
"Pádel Las Cubiertas","","Av. Issac Newton, s/n, 11500, El Puerto de Santa María","+34856395807","","https://padelizados.es/es-es/i/1009-padel-las-cubiertas/","N/A"
"Padel Salinas","","Pol Salinas Levante, Polígono Industrial Salinas de San José Cádiz ES, C. Académico Juan Luis Roche, 4, 11500, El Puerto de Santa María","+34956850700","","https://padelizados.es/es-es/i/1238-padel-salinas/","N/A"
"La Central","","Av. Ingeniero Marcos Seguin, s/n, 11500, El Puerto de Santa María","+34956547409","","https://padelizados.es/es-es/i/384-la-central/","N/A"
"Club de Pádel Bahía de Cádiz","","C. Bahía de Cádiz, 5, 11520, Rota","+34956810206","","https://padelizados.es/es-es/i/989-club-de-padel-bahia-de-cadiz/","N/A"
"Complejo Francisco Javier Zafra","","Av. Juan de Jover, 3, 11520, Rota","","","https://padelizados.es/es-es/i/863-complejo-francisco-javier-zafra/","N/A"
"Padel Torno Chiclana","","Av. de la Industria, 27, 11130, Chiclana de la Frontera","+34686973106","","https://padelizados.es/es-es/i/477-padel-torno-chiclana/","N/A"
"Heit Padel Carboneros","","C. Carboneros, 7, 11130, Chiclana de la Frontera","+34644224626","","https://padelizados.es/es-es/i/928-heit-padel-carboneros/","N/A"
"Academia Padel - ON","","Polideportivo Santa Ana, Agustín Blázquez, s/n, 11130, Chiclana de la Frontera","+34640353987","direccion@cdpadel-on.com","https://padelizados.es/es-es/i/1479-academia-padel-on/","N/A"
"Padel Center EUROPA 2015","","A-9034, 43, 11130, Chiclana de la Frontera","+34956012927","","https://padelizados.es/es-es/i/451-padel-center-europa-2015/","N/A"
"Club de Pádel COSTAPADEL Chiclana","","A-9034, 42, 11130, Chiclana de la Frontera","+34671313927","","https://padelizados.es/es-es/i/966-club-de-padel-costapadel-chiclana/","N/A"
"X3 paddle Indoor Chiclana","","Polígono Industrial Pelagatos, C. Cruz de la Calzada, s/n, 11130, Chiclana de la Frontera","+34621214784","","https://padelizados.es/es-es/i/417-x3-paddle-indoor-chiclana/","N/A"
"Padel Game Xerez","","Pol. Ind. el Portal, C. Sudáfrica, 132, 11408, Jerez de la Frontera","+34633130100","","https://padelizados.es/es-es/i/1140-padel-game-xerez/","N/A"
"Padel Extreme","","C. de la Algaida, 25, 11408, Jerez de la Frontera","+34697463829","","https://padelizados.es/es-es/i/325-padel-extreme/","N/A"
"Complejo Deportivo Jerez Sur","","C. Desconsuelo, s/n, 11408, Jerez de la Frontera","+34956145424","infojerez@forus.es","https://padelizados.es/es-es/i/954-complejo-deportivo-jerez-sur/","N/A"
"Heit Academy","","Sancti Petri, Avenida Octavio Augusto, 38 Centro Deportivo Hipotels, 11139, Chiclana de la Frontera","+34956497356","direccion@heitacademy.com","https://padelizados.es/es-es/i/525-heit-academy/","N/A"
"Sport-Land Xera - Instalaciones deportivas y césped artificial Jerez","","Residencial Jardines de, Av. de Nazaret, 1, local 1, 11406, Jerez de la Frontera","+34670428363","info@sportlandxera.com","https://padelizados.es/es-es/i/1571-sport-land-xera-instalaciones-deportivas-y-cesped-artificial-jerez/","N/A"
"Club Maspadel","","C. Mozart, SN, 11406, Jerez de la Frontera","+34659835130","info@clubmaspadel.com","https://padelizados.es/es-es/i/391-club-maspadel/","N/A"
