Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"+ Q Pádel","","Ronda Norte Circunvalación, 346, 12004, Castellón de la Plana","+34633203056","masqpadelcs@gmail.com","https://padelizados.es/es-es/i/933--q-padel/","N/A"
"Sportclub Impala & Spa","","C. Astrònom Francesc Aragó, 2, 12100, Castellón de la Plana","+34964737383","info@impalasportclub.com","https://padelizados.es/es-es/i/924-sportclub-impala-spa/","N/A"
"Play Padel Indoor","","Poligono acceso sur, Carrer de Suècia, Nave 9, 12006, Castellón de la Plana","+34683287382","info@playpadelcastellon.es","https://padelizados.es/es-es/i/414-play-padel-indoor/","N/A"
"PÁDEL CENTER CASTELLÓN","","Calle Sta. Magdalena de Pulpis, 8, Bajo, 12006, Castellón de la Plana","+34608693955","masqpadelcs@gmail.com","https://padelizados.es/es-es/i/252-padel-center-castellon/","N/A"
"Pádel Castellón OkPadel Centro Deportivo","","Avinguda d'Almassora, nº37, 12005, Castellón de la Plana","+34964103203","reservas@okpadel.es","https://padelizados.es/es-es/i/597-padel-castellon-okpadel-centro-deportivo/","N/A"
"Pàdel Castalia Castelló","","C. d'Osca, 6, 12004, Castellón de la Plana","+34623256266","castellonpadelsport@gmail.com","https://padelizados.es/es-es/i/1365-padel-castalia-castello/","N/A"
"Pádel Raval","","","+34623257218","castellonpadelsport@gmail.com","https://padelizados.es/es-es/i/835-padel-raval/","N/A"
"CPS academy","","Camí de la Donació, 12100, Castellón de la Plana","+34661441150","info@cpsacademy.es","https://padelizados.es/es-es/i/935-cps-academy/","N/A"
"Pádel Jubelama Indoor Castellón","","Calle Pl Numero 85, 124B, 12004, Castellón de la Plana","+34647769560","","https://padelizados.es/es-es/i/699-padel-jubelama-indoor-castellon/","N/A"
"Pádel Indoor Castellon","","Carrer Ducat d'Atenes, 6, 12550, Almassora","+34638358903","","https://padelizados.es/es-es/i/505-padel-indoor-castellon/","N/A"
"Sport Pàdel Borriana","","Av. d'Almassora, s/n, 12530, Burriana","+34695930089","info@sportpadelburriana.com","https://padelizados.es/es-es/i/1208-sport-padel-borriana/","N/A"
"Centro de Padel Burriana ESPADEL","","Carr. de Nules, 56, 12530, Burriana","+34680753740","","https://padelizados.es/es-es/i/1183-centro-de-padel-burriana-espadel/","N/A"
"ENTREPISTES Restaurant i pàdel","","Av. Asturias, 10, 12200, Onda","+34964914019","info@entrepistes.es","https://padelizados.es/es-es/i/205-entrepistes-restaurant-i-padel/","N/A"
"Club Pàdel Pro Nules","","Carr. de la Vilavella, 72, 12520, Nules","+34637603239","","https://padelizados.es/es-es/i/1375-club-padel-pro-nules/","N/A"
"Padel encubierto","","Cam. Fanzara, 26, 12200, Onda","+34667721306","info@caldererialaplana.es","https://padelizados.es/es-es/i/1503-padel-encubierto/","N/A"
"Nou Padel Onda","","Cam. Fanzara, 7, 12200, Onda","+34633058009","","https://padelizados.es/es-es/i/1005-nou-padel-onda/","N/A"
"Pàdel la Vall d’Uixó","","Av. Agricultor, 48-50, 12600, La Vall d'Uixó","","","https://padelizados.es/es-es/i/1397-padel-la-vall-duixo/","N/A"
"PADELCDM","","C. Proyecto 3, 11, 46510, Quartell","+34684476769","","https://padelizados.es/es-es/i/358-padelcdm/","N/A"
"Rincón del Pádel","","Carrer del Ciscar, 65, 46529, Canet de Berenguer","+34609873280","ferpadel@me.com","https://padelizados.es/es-es/i/781-rincon-del-padel/","N/A"
"Restaurante El Faro de Canet","","Carrer Mariano Benlliure, 18, 46529, Canet de Berenguer","+34665835240","info@complejoelfaro.com","https://padelizados.es/es-es/i/1048-restaurante-el-faro-de-canet/","N/A"
"Club Deportivo Las Fuentes","","C. Jai Alai, 15, 12579, Alcossebre","+34633878428","clubdeportivolasfuentes@gmail.com","https://padelizados.es/es-es/i/1406-club-deportivo-las-fuentes/","N/A"
