Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"La Pista","","Carr. de Puertollano, 13440, Ciudad Real","+34649944467","","https://padelizados.es/es-es/i/398-la-pista/","N/A"
"Club de Ocio Nudos","","Carretera Nacional 430, km 304, 13005, Ciudad Real","+34639611204","soporte@ovh.es","https://padelizados.es/es-es/i/675-club-de-ocio-nudos/","N/A"
"Pádel Plus","","C. Hermanos Lumiere, 12, 13005, Ciudad Real","+34619881676","","https://padelizados.es/es-es/i/375-padel-plus/","N/A"
"CLUB DE TENIS MANZANARES.","","Cam. Cristo de las Agonías, 11, 13200, Ciudad Real","+34926613029","contacto@clubdetenismanzanares.com","https://padelizados.es/es-es/i/479-club-de-tenis-manzanares/","N/A"
"Pádel Bibiertas","","C. Campo de Criptana, 6, 13005, Ciudad Real","+34637321382","fernandofuentesmateos@gmail.com","https://padelizados.es/es-es/i/1272-padel-bibiertas/","N/A"
"Club Realpadel","","Av. Tablas de Daimiel, s/n, 13004, Ciudad Real","+34648623366","","https://padelizados.es/es-es/i/902-club-realpadel/","N/A"
"Club De Ocio Realpadel Poblete","","C. Girón, 2, 13195, Poblete","+34648623366","","https://padelizados.es/es-es/i/548-club-de-ocio-realpadel-poblete/","N/A"
"Pádel Center Carlos J","","C/ Murcia 63, Polígono Industrial, C. las Viñas, 13420, Malagón","+34634290231","info@padelcentercj.com","https://padelizados.es/es-es/i/820-padel-center-carlos-j/","N/A"
"VIP Padel Malagón","","C. Magallanes, 1, 13420, Malagón","+34622807308","","https://padelizados.es/es-es/i/959-vip-padel-malagon/","N/A"
"CLUB DE PADEL LA HERRADURA CIUDAD REAL","","Av. de la Estación, 2, 13580, Almodóvar del Campo","+34645690041","","https://padelizados.es/es-es/i/994-club-de-padel-la-herradura-ciudad-real/","N/A"
"X3 Padel villarrubia","","C. Grande, 70, 13670, Villarrubia de los Ojos","+34666052456","","https://padelizados.es/es-es/i/962-x3-padel-villarrubia/","N/A"
