Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Stock Padel Córdoba","","C/ María Montessori, 7, 14011, Córdoba","+34682897989","info@stockpadel.com","https://padelizados.es/es-es/i/163-stock-padel-cordoba/","N/A"
"Club Vistasierra","","km 1,3, Carret. de Trassierra, 14011, Córdoba","+34609517286","","https://padelizados.es/es-es/i/162-club-vistasierra/","N/A"
"El Vial Padel - Córdoba","","C. Tartesos, 12, 14011, Córdoba","+34691923994","","https://padelizados.es/es-es/i/219-el-vial-padel-cordoba/","N/A"
"Club Deportivo El Carmen","","Alonso el Sabio, 34, 14001, Córdoba","+34674284099","","https://padelizados.es/es-es/i/929-club-deportivo-el-carmen/","N/A"
"Open Arena","","C. Escritora Maria Goyri, s/n, 14005, Córdoba","+34957236485","info@openarena.es","https://padelizados.es/es-es/i/917-open-arena/","N/A"
"CD. Padel the Quemadas","","Pol. Ind. Tecnocórdoba, C. Suecia, 108, Nave A, 14014, Córdoba","+34678428942","","https://padelizados.es/es-es/i/278-cd--padel-the-quemadas/","N/A"
"Club Deportivo Sansueña","","C. Escultor Ramón Barba, 72, 14012, Córdoba","+34957282242","","https://padelizados.es/es-es/i/1210-club-deportivo-sansuena/","N/A"
"Padelium chinales","","Av. de Chinales, 10, 14007, Córdoba","+34957356920","","https://padelizados.es/es-es/i/374-padelium-chinales/","N/A"
"Club Deportivo Sierra Morena","","Carret. de Trassierra, Km 3, 14011, Córdoba","+34671525345","","https://padelizados.es/es-es/i/1151-club-deportivo-sierra-morena/","N/A"
"La Catedral del Padel","","C. José de Gálvez y Aranda, 35A, 14014, Córdoba","+34681372925","","https://padelizados.es/es-es/i/480-la-catedral-del-padel/","N/A"
"Sansueña Padel Club","","C. Madres Escolapias, 14012, Córdoba","+34605695595","","https://padelizados.es/es-es/i/683-sansuena-padel-club/","N/A"
"club de padel arruzafa","","C/ Poeta José María Alvariño, 20, 14012, Córdoba","+34687759204","","https://padelizados.es/es-es/i/483-club-de-padel-arruzafa/","N/A"
"You Play Padel","","Av. Apreama, 14013, Córdoba","+34624475272","","https://padelizados.es/es-es/i/1409-you-play-padel/","N/A"
"Club de padel A3SET","","Cordoba, 14720, Almodóvar del Río","+34627032438","","https://padelizados.es/es-es/i/865-club-de-padel-a3set/","N/A"
"Club Padel Indoor Fuente palmera","","A-440, 61, 14112, Fuente Palmera","+34602231994","","https://padelizados.es/es-es/i/982-club-padel-indoor-fuente-palmera/","N/A"
