Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Ibaeta Padel Trinketea","","Igara Bidea, 71, 20018, Donostia / San Sebastián","+34943213644","trinketeibaeta@hotmail.com","https://padelizados.es/es-es/i/392-ibaeta-padel-trinketea/","N/A"
"Mons kiroldegia","","Julimasene Kalea, 1C, 20015, Donostia / San Sebastián","+34943285830","","https://padelizados.es/es-es/i/1136-mons-kiroldegia/","N/A"
"Euskal Padel Federazioa (FVP-EPF)","","Errotaburu Pasealekua, 1, 3ª Planta, 20018, Donostia / San Sebastián","+34645733746","info@padelcv.com","https://padelizados.es/es-es/i/1103-euskal-padel-federazioa-fvp-epf/","N/A"
"Pádel 21 Astigarraga","","Oialume Bidea, 37, 20115, Astigarraga","+34611444708","admin@padel21asti.com","https://padelizados.es/es-es/i/832-padel-21-astigarraga/","N/A"
"Padel Indoor Oarso","","Egiburuberri Pasealekua Ibilbidea, 15, A, 20100, Errenteria","+34943788081","info@padeloarso.com","https://padelizados.es/es-es/i/1322-padel-indoor-oarso/","N/A"
"padel indoor bidasoa","","Bidaurre-Ureder, 45, BJ G, 20305, Irun","+34943574856","info@padelindoorbidasoa.com","https://padelizados.es/es-es/i/492-padel-indoor-bidasoa/","N/A"
"Orioko Karela Kiroldegia","","Erribera Kalea, 1, 20810, Orio","+34943894428","bpxport@bpxport.es","https://padelizados.es/es-es/i/1513-orioko-karela-kiroldegia/","N/A"
"Hondartza Kiroldegia","","Foru Kalea, s/n, 20280, Hondarribia","+34943647137","dpo@gfmservicios.com","https://padelizados.es/es-es/i/1229-hondartza-kiroldegia/","N/A"
"Padel Urola","","Anardi Area Aldea, 3, 20730, Azpeitia","+34669904046","info@apuntat.com","https://padelizados.es/es-es/i/1018-padel-urola/","N/A"
"Padel Indoor Goierri - Pistas de pádel en Beasain","","Polígono Gudugarreta 16 A, 20218, Beasain","+34943884958","","https://padelizados.es/es-es/i/1324-padel-indoor-goierri-pistas-de-padel-en-beasain/","N/A"
