"Nombre","Pistas","Dirección","Teléfono","Correo","Página Web","Plataforma de Reserva"
"Escuela Pro Pádel Vigo (I Padel)","11 pistas indoor (10D + 1I)","Polígono Industrial Portela, Av. de Puxeiros, 84, Nave 6, 36416 Tameiga-Mos","+34 676 56 53 67","escuelas@propadelvigo.es","https://www.propadelvigo.es/","Playtomic / Web Propia"
"Academia Twelve Padel Zenter","12 pistas indoor","Estrada Fragosiño, 30, Sárdoma, 36214 Vigo","+34 986 84 17 97","12padelzenter@gmail.com","https://www.twelvepadelzenter.com/academia/","Playtomic / App Propia"
"XestionandoSport (Indoor Vigo)","3 ubicaciones, pistas cubiertas","Camiño Gandariña, 19, Nave 6, 36214 Vigo","+34 667 375 829","info@xestionandosport.com","https://xestionandosport.com/","Web / Teléfono"
"PVPádel — Academia Pablo Valín","Varias pistas en A Coruña y Santiago","A Coruña y Santiago de Compostela","+34 623 185 172","pablovalinpadel@gmail.com","https://pvpadel.com/","WhatsApp / Teléfono"
"A1 Pádel Club (Escuela de Menores)","Pistas cubiertas","C/ Galileo Galilei, 36, 15008 A Coruña","+34 658 923 423","recepcion@a1-padel.com","https://www.a1-padel.com/","MatchPoint / Web Propia"
"Padel Compostela (Escuela de Pádel)","4 pistas de pádel","Rúa Eslovaquia, 6, 15707 Santiago de Compostela","+34 981 897 530","info@padelcompostela.com","https://padelcompostela.com/","Web / Teléfono"
"School Pádel Pontevedra","4 pistas de cristal indoor","Rúa Irlanda, 2, Monteporreiro, 36162 Pontevedra","+34 692 650 223","Schoolpadelpontevedra@outlook.com","https://www.schoolpadelpontevedra.com/","Web / Teléfono"
"Escuela de Pádel ASM (Pádel en silla de ruedas)","Pistas adaptadas","A Coruña (ASPAYM Galicia)","+34 881 873 507","info@aspaymgalicia.org","https://www.aspaymgalicia.org/","Web / Teléfono"
"Escuela de Pádel CVE (Extraescolares)","Instalaciones del colegio","Colegio CVE, Madrid","N/A","padel@cve.edu.es","https://cve.edu.es/portfolio_page/escuela-de-padel/","Web / Teléfono"
"Escuela de Pádel Menores CD Montecanal","Pistas en centro deportivo","C/ de la Mesta, s/n, 50012 Zaragoza","+34 976 755 800","cdmontecanal@cdmontecanal.com","https://cdmontecanal.com/","Web / Teléfono"
"Escuela de Pádel CN Helios","Pistas del club","Zaragoza","N/A","padel@cnhelios.com","https://www.cnhelios.com/escuelas-deportivas/ninos/padel","Web / Teléfono"
