"Nombre","Pistas","Dirección","Teléfono","Correo","Página Web","Plataforma de Reserva"
"Federación Internacional de Pádel (FIP)","100 federaciones nacionales","Maison du Sport International, Av. De Rhodanie 54, 1007 Lausanne, Suiza","N/A","info@padelfip.com","https://www.padelfip.com/","N/A"
"Federación Internacional de Pádel (FIP) - Marketing","100 federaciones nacionales","Maison du Sport International, Av. De Rhodanie 54, 1007 Lausanne, Suiza","N/A","operations@padelfip.com","https://www.padelfip.com/","N/A"
"Federación Internacional de Pádel (FIP) - Prensa","100 federaciones nacionales","Maison du Sport International, Av. De Rhodanie 54, 1007 Lausanne, Suiza","N/A","press@padelfip.com","https://www.padelfip.com/","N/A"
"Federación Internacional de Pádel (FIP) - Competición","100 federaciones nacionales","Maison du Sport International, Av. De Rhodanie 54, 1007 Lausanne, Suiza","N/A","competition@padelfip.com","https://www.padelfip.com/","N/A"
"Federación Francesa de Tenis y Pádel (FFT)","—","Stade Roland Garros, 75016 París, Francia","+33 1 47 43 48 00","padel@fft.fr","https://www.fft.fr/","N/A"
"Federación Italiana de Tenis y Pádel (FITP)","—","Stadio Olimpico, Curva Nord, 00135 Roma, Italia","+39 06 9837 2205","organizzativopadel@fitp.it","https://www.fitp.it/","N/A"
"Federação Portuguesa de Padel","—","Rua Bernardo Lima, 35, 1º-D, 1150-075 Lisboa, Portugal","+351 210 113 570","secretaria@fppadel.pt","https://www.fppadel.pt/","N/A"
"Deutscher Padel Verband (DPV)","—","Havighorster Weg 16, 21031 Hamburgo, Alemania","+49 40 5544 6800","gs@dpv-padel.de","https://www.dpv-padel.de/","N/A"
"LTA Padel (Reino Unido)","—","National Tennis Centre, Roehampton, Londres, Reino Unido","N/A","media@lta.org.uk","https://www.lta.org.uk/padel","N/A"
"Royal Dutch Lawn Tennis Association (KNLTB)","—","Nationaal Tenniscentrum, Amstelveen, Países Bajos","+31 88 130 2600","padel@knltb.nl","https://www.nlpadel.nl/","N/A"
"Swiss Padel Association","—","Glatttalstrasse 155, 8052 Zúrich, Suiza","+41 78 480 05 98","info@swisspadel.ch","https://swisspadel.ch/","N/A"
"Svenska Padelförbundet (Suecia)","—","Estocolmo, Suecia","+46 73 183 98 54","info@svenskpadel.se","https://svenskpadel.se/","N/A"
"Austrian Padel Union (APU)","—","Schmalzhofgasse 26, 1060 Viena, Austria","+43 1 334 4044 8888","info@austrianpadelunion.at","https://padel-austria.at/","N/A"
"Padel Belgium","—","Bruselas, Bélgica","+32 2 548 03 12","info@padelbelgium.com","https://padelbelgium.be/","N/A"
"Polska Federacja Padla (Polonia)","—","Al. Bohaterów Września 12, 02-389 Varsovia, Polonia","+48 22 000 00 00","biuro@pfpadla.pl","https://pfpadla.pl/","N/A"
"Dansk Padel Forbund (Dinamarca)","—","Idrættens Hus, Brøndby, Dinamarca","N/A","kontakt@danskpadelforbund.dk","https://www.danskpadelforbund.dk/","N/A"
"Padel Federation of Ireland","—","Dublín, Irlanda","+353 87 164 2352","info@padelfederation.ie","https://padelfederation.ie/","N/A"
"Suomen Padelliitto (Finlandia)","—","Helsinki, Finlandia","+358 44 438 6906","office@padel.fi","https://padel.fi/","N/A"
"Česká padelová federace (Rep. Checa)","—","Praga, República Checa","+420 721 734 250","info@czpadel.cz","https://czpadel.cz/","N/A"
"Confederación Argentina de Pádel (CAP)","—","Buenos Aires, Argentina","+54 11 4556 1754","padel@fibertel.com.ar","https://www.padelfip.com/es/federaciones/argentina/","N/A"
"Federación Argentina de Pádel (FAP)","—","Buenos Aires, Argentina","N/A","fap_padel@hotmail.com","https://fapargentina.com.ar/","N/A"
"Confederação Brasileira de Pádel (COBRAPA)","—","Porto Alegre, Brasil","+55 51 98626 0713","atendimento@cobrapa.com.br","https://www.cobrapa.com.br/","N/A"
"Federación Mexicana de Pádel (FEMEPA)","—","Ciudad de México, México","+52 55 5540 6766","secretariogeneral@femepa.org.mx","https://femepa.app/","N/A"
"Federación Nacional de Padel de Chile (FEPACHI)","—","Santiago de Chile, Chile","N/A","secretaria@fepachi.cl","https://fepachi.cl/","N/A"
"Asociación de Padel del Uruguay","—","Punta del Este, Uruguay","+598 9514 6560","secretaria@padel.com.uy","https://www.padel.com.uy/","N/A"
