Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Serres de Pals Golf & Sport Club","","Mas Gelabert, 17256, Girona","+34972117106","info@serresdepals.com","https://padelizados.es/es-es/i/1083-serres-de-pals-golf-sport-club/","N/A"
"Camiral A Quinta Do Lago Resort","","","+34972181020","","https://padelizados.es/es-es/i/562-camiral-a-quinta-do-lago-resort/","N/A"
"PADEL GIRONA UALA","","Carrer Can Pau Birol, 11, 17005, Girona","+34662313098","info@padelgirona.com","https://padelizados.es/es-es/i/257-padel-girona-uala/","N/A"
"Gipadel Padel Indoor Girona","","Carrer Joeria Petita, 2B, 17007, Girona","+34872220808","info@gipadel.com","https://padelizados.es/es-es/i/464-gipadel-padel-indoor-girona/","N/A"
"BREAK PADEL GIRONA","","Carrer Barcelona, 232, 17005, Girona","+34645539321","","https://padelizados.es/es-es/i/1363-break-padel-girona/","N/A"
"x3 Club Girona Padel","","Ctra. Cartellà s/n Pol. Ind. Jueria, 17150, Girona","+34972111111","x3@x3padel.com","https://padelizados.es/es-es/i/888-x3-club-girona-padel/","N/A"
"Pàdel Perelló","","Carrer del Mas Falgàs, 2, 17180, Vilablareix","+34606451628","","https://padelizados.es/es-es/i/1447-padel-perello/","N/A"
"Pàdel Riudellots 2","","Avinguda del Mas Pins, 114, 17457, Riudellots de la Selva","+34972909030","info@padelriudellots.com","https://padelizados.es/es-es/i/999-padel-riudellots-2/","N/A"
"Pàdel Riudellots","","Polígon Polingesa, Avinguda Mas Vilà, 59, 17457, Riudellots de la Selva","+34972909030","info@padelriudellots.com","https://padelizados.es/es-es/i/472-padel-riudellots/","N/A"
"Pitch & putt Franciac","","N-2, km 703, 17456, Caldes de Malavella","+34972471028","info@golffranciac.com","https://padelizados.es/es-es/i/1066-pitch-putt-franciac/","N/A"
"Pàdel Estany","","Passeig de la Indústria, s/n, 17834, Porqueres","+34972092212","info@padelestany.cat","https://padelizados.es/es-es/i/704-padel-estany/","N/A"
"Mas Solà Club Santa Coloma de Farners","","Ctra. de Sils, km.2, 17430, Santa Coloma de Farners","","","https://padelizados.es/es-es/i/967-mas-sola-club-santa-coloma-de-farners/","N/A"
"Pàdel Llagostera","","Av. de l'Esport, s/n, 17240, Llagostera","+34659663750","","https://padelizados.es/es-es/i/901-padel-llagostera/","N/A"
