Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"O2 Centro Wellness Granada","","Calle Neptuno, s/n, 18004, Granada","+34958260726","","https://padelizados.es/es-es/i/767-o2-centro-wellness-granada/","N/A"
"BeOne Fitness & Sport","","C. Ribera del Beiro, s/n, 18014, Granada","+34958198444","","https://padelizados.es/es-es/i/619-beone-fitness-sport/","N/A"
"TECNOPÁDEL GRANADA","","POLIGONO TECNOLOGICO DE LOS OGIJARES, NAVE 17, 18151, Granada","+34647217084","","https://padelizados.es/es-es/i/1179-tecnopadel-granada/","N/A"
"Campus Padel Club","","C. Menéndez Pelayo, s/n, 18007, Granada","+34630891907","info@campuspadelclub.es","https://padelizados.es/es-es/i/251-campus-padel-club/","N/A"
"ValsSport Ilusión","","C. de María Guerrero, s/n, 18003, Granada","+34661287357","","https://padelizados.es/es-es/i/1170-valssport-ilusion/","N/A"
"INACUA ANTONIO PRIETO","","Av. Federico García Lorca, s/n, 18014, Granada","+34958161388","","https://padelizados.es/es-es/i/692-inacua-antonio-prieto/","N/A"
"Césped y Pistas","","Cortijo El Nogal, Carr. de la Zubia, s/n, 18008, Granada","+34958138395","","https://padelizados.es/es-es/i/1355-cesped-y-pistas/","N/A"
"Padel Master Club","","C. Periodista Luis de Vicente, 1, 18011, Granada","+34684774618","","https://padelizados.es/es-es/i/1427-padel-master-club/","N/A"
"Polideportivo Genil","","P.º de los Basilios, 2, 18008, Granada","+34699810981","reservas@polideportivogenil.es","https://padelizados.es/es-es/i/1541-polideportivo-genil/","N/A"
"Padel Sport Granada Indoor","","18100, Armilla","+34606145849","info@gestimars.com","https://padelizados.es/es-es/i/186-padel-sport-granada-indoor/","N/A"
"Sport Club La Hípica","","Pje. de San José, km 2, 18004, Churriana de la Vega","+34676751465","sportclub.hipica@gmail.com","https://padelizados.es/es-es/i/691-sport-club-la-hipica/","N/A"
"Odeco Pádel Cubierto en Granada","","C. Habana, 103, 18194, Churriana de la Vega","+34615162728","","https://padelizados.es/es-es/i/655-odeco-padel-cubierto-en-granada/","N/A"
"Box Padel","","Cam. Puente del Palo, 18194, Churriana de la Vega","+34621094304","","https://padelizados.es/es-es/i/467-box-padel/","N/A"
"Padbol Ogíjares","","C. Salamanca, 52, 18151, Ogíjares","+34630683981","","https://padelizados.es/es-es/i/1425-padbol-ogijares/","N/A"
"Geopadel","","Polígono Tecnológico los, C. Zamora, 130, 18151, Ogíjares","+34646059962","","https://padelizados.es/es-es/i/240-geopadel/","N/A"
"Padel Land La Zubia","","C. Nelson Mandela, 18140, La Zubia","+34633870786","","https://padelizados.es/es-es/i/1003-padel-land-la-zubia/","N/A"
"Central Padel","","Av. Andalucía, 5, 18210, Peligros","+34644295243","","https://padelizados.es/es-es/i/594-central-padel/","N/A"
"Pistas De Pádel Cenes De La Vega","","Cam. de las Fuentezuelas, 6, 18190, Cenes de la Vega","","","https://padelizados.es/es-es/i/1264-pistas-de-padel-cenes-de-la-vega/","N/A"
"Oasys Fit-Padel","","C. Montejicar, 22, 18210, Peligros","+34616937183","","https://padelizados.es/es-es/i/1559-oasys-fit-padel/","N/A"
"NEVADA PADEL","","C. Sevilla, 7, 18195, Cúllar Vega","+34958547379","","https://padelizados.es/es-es/i/381-nevada-padel/","N/A"
"Fourpadel","","C. Almuñecar, parcela 138, 18220, Albolote","+34670365146","","https://padelizados.es/es-es/i/1200-fourpadel/","N/A"
