Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Complejo La Veguilla","","A-312, Km 79, 23340, Jaén","+34953425482","reservas@laveguilla.es","https://padelizados.es/es-es/i/887-complejo-la-veguilla/","N/A"
"MAFEMA","","Ctra. los Villares, km 3, 23740, Jaén","+34678541181","fernandomafema@gmail.com","https://padelizados.es/es-es/i/237-mafema/","N/A"
"Padel Indoor Jaén","","C. Carmen de Michelena, 4, 23009, Jaén","+34953369684","ejemplo@correo.com","https://padelizados.es/es-es/i/395-padel-indoor-jaen/","N/A"
"Padel Premium","","C. Beas de Segura, 12, 23009, Jaén","+34953284109","info@padelpremium.com","https://padelizados.es/es-es/i/433-padel-premium/","N/A"
"Pistas de Pádel N-323A Altos del Puente Nuevo","","C. Vega del Molinero, 82, 23009, Jaén","+34617399647","ayuntamiento@laguardiadejaen.es","https://padelizados.es/es-es/i/1620-pistas-de-padel-n-323a-altos-del-puente-nuevo/","N/A"
"Complejo deportivo Eras de San Sebastián","","C. Torrejón, S/N, 23170, Mancha Real","+34607806963","ayuntamiento@laguardiadejaen.es","https://padelizados.es/es-es/i/1359-complejo-deportivo-eras-de-san-sebastian/","N/A"
"FUNPADEL","","C. Torredonjimeno, 14, 23640, Torredelcampo","+34608168669","contacto@funpadel.es","https://padelizados.es/es-es/i/841-funpadel/","N/A"
"Club de Pádel Torreolivo","","C. el Berrueco, 2, 23640, Torredelcampo","+34619362169","","https://padelizados.es/es-es/i/549-club-de-padel-torreolivo/","N/A"
"Club de Padel Los Villares","","23160, Los Villares","+34667927186","demo@fdsusi.es","https://padelizados.es/es-es/i/813-club-de-padel-los-villares/","N/A"
"Sport Goli","","Pol. Ind. Mirabueno, C. Méjico, 2, 23650, Torredonjimeno","","demo@fdsusi.es","https://padelizados.es/es-es/i/1432-sport-goli/","N/A"
"Smash Padel Martos","","C. Torneros, 9, 23600, Martos","+34655987451","demo@fdsusi.es","https://padelizados.es/es-es/i/500-smash-padel-martos/","N/A"
"Shark Club Padel Baeza","","C. Río Guadiana, 34, 23440, Baeza","+34638914376","","https://padelizados.es/es-es/i/845-shark-club-padel-baeza/","N/A"
"Padel Indoor Linares","","C. Mina el Fastillo, S/N, 23700, Linares","+34953656197","","https://padelizados.es/es-es/i/540-padel-indoor-linares/","N/A"
