Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Aurial Pádel Indoor","","Poligono Neoparc, Carrer Alcarràs, 23, 25190, Lleida","+34621282576","","https://padelizados.es/es-es/i/174-aurial-padel-indoor/","N/A"
"Club Tennis Lleida","","Camí Boixadors, 60, 25198, Lleida","+34973240010","docencia@fcpadel.cat","https://padelizados.es/es-es/i/203-club-tennis-lleida/","N/A"
"Sícoris Club","","Carrer Sícoris, 45, 25001, Lleida","+34973204329","info@sicorisclub.com","https://padelizados.es/es-es/i/181-sicoris-club/","N/A"
"CÀMPING ORGANYÀ PARK","","25794, Lleida","+34621284673","info@organyapark.com","https://padelizados.es/es-es/i/447-camping-organya-park/","N/A"
"Trèvol","","Avinguda de Tortosa, 84, 25005, Lleida","+34973106885","gsune@trevollleida.com","https://padelizados.es/es-es/i/794-trevol/","N/A"
"Club Tennis Urgell","","Partida Balàfia, 71, 25196, Lleida","+34973088880","club@tennisurgell.com","https://padelizados.es/es-es/i/371-club-tennis-urgell/","N/A"
"Padel Indoor Tàrrega","","Carrer Pol.indust. la, Ca Naleta, 69B, 25300, Lleida","+34659050265","","https://padelizados.es/es-es/i/1305-padel-indoor-tarrega/","N/A"
"Pitch & Putt Lleida i Padel Lleida","","Camí dels Fondos, 80, 25131, Torre-serona","+34666002433","","https://padelizados.es/es-es/i/1396-pitch-putt-lleida-i-padel-lleida/","N/A"
"Pàdel Alcarràs","","Carrer Partida les Sorts, 204, 25180, Alcarràs","+34696425693","clubpadelalcarras@gmail.com","https://padelizados.es/es-es/i/546-padel-alcarras/","N/A"
"ODYSSEY PADEL INDOOR","","Pol. Ind. Fondo de Litera, C. Encaixonadores, 18, 22520, Fraga","+34671935865","","https://padelizados.es/es-es/i/915-odyssey-padel-indoor/","N/A"
"Pàdel Arbeca","","Carrer del Pou, 27, 25140, Arbeca","+34638608316","","https://padelizados.es/es-es/i/723-padel-arbeca/","N/A"
"Dakirol - Castellnou de Seana","","Carrer Utxafava, 25265, Castellnou de Seana","+34660990389","","https://padelizados.es/es-es/i/1614-dakirol-castellnou-de-seana/","N/A"
"B.A.P.","","C. Mariano de Pano, 118, 120, 22500, Binéfar","+34648862287","","https://padelizados.es/es-es/i/1098-b-a-p/","N/A"
"Pista de Pádel Pública Municipal de Mequinenza.","","50170, Mequinenza","+34974464721","info@museosdemequinenza.com","https://padelizados.es/es-es/i/1548-pista-de-padel-publica-municipal-de-mequinenza/","N/A"
"Camping Prades Park","","Cra t- km 6850, T-701, K 6, 85 Entrada, 43364, Prades","+34977868270","","https://padelizados.es/es-es/i/566-camping-prades-park/","N/A"
