Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"PadelSpirit Club - Madrid","","Vicálvaro, C. Pirotecnia, 59, 28052, Madrid","+34617217171","info@padelspiritclub.es","https://padelizados.es/es-es/i/59-padelspirit-club-madrid/","N/A"
"Padel Club Usera","","C. del Corindón, 3, 28041, Madrid","+34618805531","padelusera@gmail.com","https://padelizados.es/es-es/i/69-padel-club-usera/","N/A"
"Gimnasio Wellsportclub","","Av. del Dr. Federico Rubio y Galí, 59, 28040, Madrid","","wellsportclub@wellsportclub.com","https://padelizados.es/es-es/i/627-gimnasio-wellsportclub/","N/A"
"indoor paddle planet","","Av. del Sol, 3, 28850, Madrid","+34691711848","","https://padelizados.es/es-es/i/89-indoor-paddle-planet/","N/A"
"Madrid Central Padel","","Calle Boyer, 28, C. de Boyer, 20, 28052, Madrid","+34608884708","recepcion@madridcentralpadel.com","https://padelizados.es/es-es/i/70-madrid-central-padel/","N/A"
"Indie Padel Club","","Av. de la Democracia, 11, 28031, Madrid","+34683293467","info@indiepadelclub.es","https://padelizados.es/es-es/i/57-indie-padel-club/","N/A"
"MOMO by Making Padel","","Azotea Parque Comercial Las Rejas, C. de Navaridas, 9, 28022, Madrid","+34670596725","makingpadel@momosportsclub.com","https://padelizados.es/es-es/i/104-momo-by-making-padel/","N/A"
"Arena Rio Padel","","C. de la Verdad, 20, 28019, Madrid","+34611043923","info@rioarenapadel.com","https://padelizados.es/es-es/i/125-arena-rio-padel/","N/A"
"Vim Padel Indoor","","C. de Agosto, 3, 28022, Madrid","+34918602199","","https://padelizados.es/es-es/i/750-vim-padel-indoor/","N/A"
"Centro deportivo SMP","","C. del Dr. Esquerdo, 64, 66, 28007, Madrid","+34914009737","infodpo@forlopd.es","https://padelizados.es/es-es/i/899-centro-deportivo-smp/","N/A"
"Enjoy! Carabanchel","","C. de Reus, 11, 28044, Madrid","+34915041194","","https://padelizados.es/es-es/i/987-enjoy-carabanchel/","N/A"
"Padel and Tennis Club Fuencarral","","C. del Monasterio de Las Huelgas, 15, 28049, Madrid","+34617481362","info@clubfuencarral.com","https://padelizados.es/es-es/i/109-padel-and-tennis-club-fuencarral/","N/A"
"Club de Campo Villa de Madrid","","Ctra. Castilla, km 2, 28040, Madrid","+34915502010","abonados@ccvm.es","https://padelizados.es/es-es/i/84-club-de-campo-villa-de-madrid/","N/A"
"Pistas de pádel Marqués de Monistrol - Río San Pol","","C. de la Ribera del Manzanares, 1, Bis, 28008, Madrid","+34915413716","","https://padelizados.es/es-es/i/1174-pistas-de-padel-marques-de-monistrol-rio-san-pol/","N/A"
"Ciudad De La Raqueta","","C. del Monasterio de El Paular, 2, 28049, Madrid","+34917297922","entradas@ciudadraqueta.com","https://padelizados.es/es-es/i/54-ciudad-de-la-raqueta/","N/A"
"Club y Escuela de Padel IberiaMart Madrid","","Av. de Brasil, 5, 28020, Madrid","+34915565965","padel@iberiamart.es","https://padelizados.es/es-es/i/380-club-y-escuela-de-padel-iberiamart-madrid/","N/A"
"Club Deportivo Somontes","","Carr Madrid-El Pardo, Km. 3, 400, 28048, Madrid","+34913163434","hola@cdsomontes.com","https://padelizados.es/es-es/i/569-club-deportivo-somontes/","N/A"
"Euroindoor Alcorcón","","C. los Pintores, 7, 28923, Madrid","+34625688323","","https://padelizados.es/es-es/i/598-euroindoor-alcorcon/","N/A"
"FactoryFit Fitness & Padel Club","","C. de Santa Leonor, 52, 28037, Madrid","+34913040291","info@factoryfit.es","https://padelizados.es/es-es/i/1211-factoryfit-fitness-padel-club/","N/A"
"La Masó Sports Club","","C. de La Masó, 34, 28035, Madrid","+34913407196","xxx@xxxxxxxxxxxxxx.es","https://padelizados.es/es-es/i/61-la-maso-sports-club/","N/A"
"Padel Kas","","Calle de Luis I, 56-58, 28031, Madrid","+34626718628","","https://padelizados.es/es-es/i/313-padel-kas/","N/A"
"Padel La Unión","","C. Diego Olivera Victorio, 5, 28031, Madrid","+34659265574","udmelidaolimpia@gmail.com","https://padelizados.es/es-es/i/287-padel-la-union/","N/A"
"Bnfit Padel","","C. del Padre Damián, 26, 28036, Madrid","+34637876198","","https://padelizados.es/es-es/i/360-bnfit-padel/","N/A"
"Paidesport Center La Ermita","","C. de Sepúlveda, 3, 28011, Madrid","+34914700000","","https://padelizados.es/es-es/i/780-paidesport-center-la-ermita/","N/A"
"Padel Madrid Las Tablas","","Av. del Camino de Santiago, 25, 28050, Madrid","+34915456972","somos@lastablassports.club","https://padelizados.es/es-es/i/63-padel-madrid-las-tablas/","N/A"
"Club de Tenis Chamartin","","C/ de Federico Salmón, 4, 28016, Madrid","+34913452500","info@ctchamartin.es","https://padelizados.es/es-es/i/501-club-de-tenis-chamartin/","N/A"
"Cityo - Hortaleza","","C. Vía de los Poblados, 11, 28033, Madrid","+34900645695","ciudadanos@agpd.es","https://padelizados.es/es-es/i/1364-cityo-hortaleza/","N/A"
"Santo Pádel Madrid","","C. los Cavilas, 4, 28052, Madrid","+34609009033","","https://padelizados.es/es-es/i/623-santo-padel-madrid/","N/A"
"Basic Sport Center Las Cruces","","Av. de los Poblados, 72, 28044, Madrid","+34915888600","","https://padelizados.es/es-es/i/728-basic-sport-center-las-cruces/","N/A"
"Tres Olivos","","C. Bella Altisidora, 10, 28034, Madrid","","club3olivos@hotmail.com","https://padelizados.es/es-es/i/459-tres-olivos/","N/A"
"Centro Deportivo Alcalá 525","","Calle Alcalá 525, entrada por calle Iquitos, 28027, Madrid","+34913205028","","https://padelizados.es/es-es/i/493-centro-deportivo-alcala-525/","N/A"
"Club Alameda","","P.º de la Alameda de Osuna, 52, 28042, Madrid","+34917410694","","https://padelizados.es/es-es/i/645-club-alameda/","N/A"
"Centro Deportivo Puente de Praga","","Av del Manzanares, s/n, 28019, Madrid","+34639266737","","https://padelizados.es/es-es/i/488-centro-deportivo-puente-de-praga/","N/A"
"Forus Caja Mágica","","Cmo. de Perales, s/n, 28041, Madrid","+34917127997","infocajamagica@forus.es","https://padelizados.es/es-es/i/611-forus-caja-magica/","N/A"
"Reserva Tu Padel","","28045, Madrid","+34669015702","info@reservatupadel.es","https://padelizados.es/es-es/i/1196-reserva-tu-padel/","N/A"
"Franco monitor pádel","","C. de la Sierra de Atapuerca, 50, 28050, Madrid","+34634805131","","https://padelizados.es/es-es/i/806-franco-monitor-padel/","N/A"
"Cristalia Club Padel","","Vía de los Poblados, 3, 28033, Madrid","+34911731932","info@padelcristalia.com","https://padelizados.es/es-es/i/507-cristalia-club-padel/","N/A"
