Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Vals Sport Churriana","","C. Maestro Tomás Bretón, 35, 29140, Málaga","+34952622262","","https://padelizados.es/es-es/i/573-vals-sport-churriana/","N/A"
"Escuela mmpadel","","C. de Alfredo Corrochano, 9, 29006, Málaga","+34608459691","","https://padelizados.es/es-es/i/232-escuela-mmpadel/","N/A"
"Finura Padel & Gym","","Pol. Ind. Villarosa, C. Pascal, 20, 29004, Málaga","+34682453827","","https://padelizados.es/es-es/i/170-finura-padel-gym/","N/A"
"Vals Sport Teatinos","","C. Mesonero Romanos, 11, 29010, Málaga","+34952003303","","https://padelizados.es/es-es/i/582-vals-sport-teatinos/","N/A"
"Vals Sport Ave María","","Av de Sor Teresa Prat, 53, 29003, Málaga","+34951464294","","https://padelizados.es/es-es/i/717-vals-sport-ave-maria/","N/A"
"Miraflores Tennis Club","","C. Juliana, 29649, Málaga","+34952932006","miraflorestennisclub@gmail.com","https://padelizados.es/es-es/i/197-miraflores-tennis-club/","N/A"
"Fantasy Padel SL","","C. Caballito de Mar, 10, 29006, Málaga","+34630464503","","https://padelizados.es/es-es/i/150-fantasy-padel-sl/","N/A"
"Club Deportivo León 13","","C. Miguel Sel Gómez de la Cruz, 2, 29018, Málaga","+34951204132","info@clubdeportivoleon13.es","https://padelizados.es/es-es/i/135-club-deportivo-leon-13/","N/A"
"GM Padel","","C. Bodegueros, 42, 29006, Málaga","+34645855777","","https://padelizados.es/es-es/i/976-gm-padel/","N/A"
"Padel Málaga Indoor","","C. de Alfredo Corrochano, 9, 29006, Málaga","+34673283945","","https://padelizados.es/es-es/i/189-padel-malaga-indoor/","N/A"
"NEXXO CLUB - Salud Y Entrenamientos Personalizados.","","C. Bodegueros, 28, 29006, Málaga","+34648024119","","https://padelizados.es/es-es/i/377-nexxo-club-salud-y-entrenamientos-personalizados/","N/A"
"Oxygen Sports Club","","C. de Marie Curie, 26, 32, 29590, Málaga","+34951100909","info@oxygen-sportsclub.com","https://padelizados.es/es-es/i/884-oxygen-sports-club/","N/A"
"Club de pádel Miraflores","","Calle de, C. Francisco Guillón, 11, 29018, Málaga","+34679079160","info@sportmiraflores.com","https://padelizados.es/es-es/i/292-club-de-padel-miraflores/","N/A"
"Hostal y Club de Pádel El Manantial","","Cam. del Orozco, 23, 29190, Málaga","+34660202883","","https://padelizados.es/es-es/i/764-hostal-y-club-de-padel-el-manantial/","N/A"
"Padel 4 La Mirada","","a Campanillas, C. Tr.ª de Maqueda, s/n, 29591, Málaga","+34647847065","","https://padelizados.es/es-es/i/407-padel-4-la-mirada/","N/A"
"Enjoy! San José","","C. Argentea, 13, 29007, Málaga","+34951267585","","https://padelizados.es/es-es/i/1315-enjoy-san-jose/","N/A"
"Campamento de Verano Vals Sport Ave María","","Av de Sor Teresa Prat, 53, 29003, Málaga","+34951464294","recepcionconsul@valssport.com","https://padelizados.es/es-es/i/1295-campamento-de-verano-vals-sport-ave-maria/","N/A"
"MindsetPadel Academy","","C. de Alfredo Corrochano, 9, 29006, Málaga","+34677343993","info@mindsetpadel.com","https://padelizados.es/es-es/i/826-mindsetpadel-academy/","N/A"
"Centro Deportivo Fili Pinos del Limonar","","C. de la Era, 27, 29016, Málaga","+34952600124","atencionalcliente@pinosdellimonar.com","https://padelizados.es/es-es/i/1255-centro-deportivo-fili-pinos-del-limonar/","N/A"
"Inacua Málaga","","C. Marilyn Monroe, 8, 29004, Málaga","+34952000507","","https://padelizados.es/es-es/i/616-inacua-malaga/","N/A"
"Ático Pádel Torremolinos","","Camino club de tenis, 4, 29140, Málaga","+34646274360","","https://padelizados.es/es-es/i/831-atico-padel-torremolinos/","N/A"
"Hilera Pádel Club","","C. Hilera, 18, 29007, Málaga","+34744623683","","https://padelizados.es/es-es/i/1334-hilera-padel-club/","N/A"
"Spain Padel Experiences","","C. Cañada del Tesoro, 5, 29004, Málaga","+34641374661","contact@spainpadelexperiences.com","https://padelizados.es/es-es/i/1026-spain-padel-experiences/","N/A"
"Padel Sport Málaga","","C. Caballito de Mar, 8, 29006, Málaga","+34630464503","","https://padelizados.es/es-es/i/1050-padel-sport-malaga/","N/A"
