Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Área de Servicio Agetrans 24h","","Autovia del mediterraneo k609, 30830, Murcia","+34600732036","","https://padelizados.es/es-es/i/963-area-de-servicio-agetrans-24h/","N/A"
"Club Padel Brothers","","Av. Mariano Rojas, 9, 30006, Puente Tocinos","+34661649102","","https://padelizados.es/es-es/i/145-club-padel-brothers/","N/A"
"Atrium Padel","","Av. de Alicante, 241, 30007, Murcia","+34667596872","","https://padelizados.es/es-es/i/132-atrium-padel/","N/A"
"Sport Joven Futura","","C. Escritor Francisco Alemán Sainz, 1, 30100, Murcia","+34631698079","","https://padelizados.es/es-es/i/206-sport-joven-futura/","N/A"
"More Than Padel","","Carril del Cebadero, 6, 30012, Murcia","+34681391637","","https://padelizados.es/es-es/i/255-more-than-padel/","N/A"
"M2 PADEL INDOOR","","Av. José Bautista Frutos, 8, 30100, Murcia","+34685836795","","https://padelizados.es/es-es/i/379-m2-padel-indoor/","N/A"
"Centro Deportivo Verdolay","","Av. del Verdolay, 2, 30150, Murcia","+34868914847"," info@cdverdolay.es","https://padelizados.es/es-es/i/393-centro-deportivo-verdolay/","N/A"
"Cobatillas pádel sport","","C. Bolos, 12, 30163, Murcia","+34618348525","cobatillaspadelsport@gmail.com","https://padelizados.es/es-es/i/338-cobatillas-padel-sport/","N/A"
"Club Deportivo Montepinar","","Av. Picos de Europa, 25, 30163, Murcia","+34652402201","","https://padelizados.es/es-es/i/386-club-deportivo-montepinar/","N/A"
"Club de Padel Nueva Flota","","C. Cuatro Caminos, 19, 30007, Fuente Álamo de Murcia","+34656955661","info@clubdepadelnuevaflota.com","https://padelizados.es/es-es/i/420-club-de-padel-nueva-flota/","N/A"
"MOON PADEL INDOOR","","Av. de Era Alta, 21, 30166, Murcia","+34621288635","","https://padelizados.es/es-es/i/1260-moon-padel-indoor/","N/A"
"Montepríncipe Sport Center","","Av. de los Poetas, 30506, Murcia","+34623496777","info@monteprincipesportcenter.com","https://padelizados.es/es-es/i/1345-monteprincipe-sport-center/","N/A"
"Club MontePadel","","C. Cronista Carlos Valcárcel, 30150, Murcia","+34623924998","","https://padelizados.es/es-es/i/821-club-montepadel/","N/A"
"Pádel Norte Espinardo","","C. Monseñor José Manuel Lorca, 37, 30100, Murcia","+34968437445","","https://padelizados.es/es-es/i/825-padel-norte-espinardo/","N/A"
"Del Puerto Padel Club","","Cmo de los Valencianos, 30890, Murcia","+34693063713","","https://padelizados.es/es-es/i/984-del-puerto-padel-club/","N/A"
