Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Palma Racket Club","","Carrer de Galícia, 7, 07013, Palma de Mallorca","+34971736319","info@palmaracketclub.es","https://padelizados.es/es-es/i/105-palma-racket-club/","N/A"
"Pins Pàdel Club","","Calle Lluis Ferbal, 7, 07014, Palma de Mallorca","+34971450574","info@pinspadelclub.es","https://padelizados.es/es-es/i/121-pins-padel-club/","N/A"
"Freedom Wellness Club","","Carrer Gerani, 21, 07141, Palma de Mallorca","+34971008008","info@grupofreedom.es","https://padelizados.es/es-es/i/714-freedom-wellness-club/","N/A"
"Palma Padel","","Carrer de Castellà la Manxa, 6, 07013, Palma de Mallorca","+34971254730","info@palmapadel.es","https://padelizados.es/es-es/i/735-palma-padel/","N/A"
"Udyr Sport","","Carrer de Son Bessó, 15, 07120, Palma de Mallorca","+34637593691","udyrsport@gmail.com","https://padelizados.es/es-es/i/118-udyr-sport/","N/A"
"CampusEsport","","Carr. de Valldemossa, km 7, 5, 07120, Palma de Mallorca","+34971172554","dpo@fueib.org","https://padelizados.es/es-es/i/711-campusesport/","N/A"
"Padel Factory Son Castelló","","Carrer Gremi Teixidors, 3, 07009, Palma de Mallorca","+34971432305","carlos@padelfactory.es","https://padelizados.es/es-es/i/168-padel-factory-son-castello/","N/A"
"Padel Club Mallorca","","Carrer George Sand, 4, 07007, Palma de Mallorca","+34669599012","","https://padelizados.es/es-es/i/383-padel-club-mallorca/","N/A"
"Tenis y Pádel Son Rigo","","Carrer de la Mar del Japó, 2, 07610, Palma de Mallorca","+34670655346","","https://padelizados.es/es-es/i/1207-tenis-y-padel-son-rigo/","N/A"
"DUIN Portitxol","","Carrer Cuba, 7, 07006, Palma de Mallorca","+34971270210","info@duinclub.com","https://padelizados.es/es-es/i/684-duin-portitxol/","N/A"
"Carol Rojas clases particulares de pádel y tenis","","Carrer de Son Bessó, 15, 07120, Palma de Mallorca","+34649135334","","https://padelizados.es/es-es/i/815-carol-rojas-clases-particulares-de-padel-y-tenis/","N/A"
"Poliesportiu La Salle Palma","","Camí de Son Rapinya, 29, 07013, Palma de Mallorca","+34971606382","","https://padelizados.es/es-es/i/1195-poliesportiu-la-salle-palma/","N/A"
"Pádel Portitxol - Club de Pádel","","Carrer Cuba, 9, 07006, Palma de Mallorca","+34682051303","info@padelportitxol.com","https://padelizados.es/es-es/i/522-padel-portitxol-club-de-padel/","N/A"
"Mallorca Padel Indoor","","Carrer Gremi Velluters, 19, 07009, Palma de Mallorca","+34971678900","","https://padelizados.es/es-es/i/585-mallorca-padel-indoor/","N/A"
"Padel Sa Cabana","","Carrer de sa Sol·lera, 2, 07141, Palma de Mallorca","+34971794166","","https://padelizados.es/es-es/i/413-padel-sa-cabana/","N/A"
"Padelmon Palmanyola Sa Font Seca","","Carrer Puig de Galatzo, 07193, Palma de Mallorca","+34666369952","","https://padelizados.es/es-es/i/504-padelmon-palmanyola-sa-font-seca/","N/A"
"Padel Indoor La Porciúncula","","Camí del Palmer, 16, 07600, Palma de Mallorca","+34722634271","","https://padelizados.es/es-es/i/960-padel-indoor-la-porciuncula/","N/A"
"PÀDEL CLUB U36","","Carrer d'Andalusia, 07013, Palma de Mallorca","+34695543659","padelclubu36@hotmail.com","https://padelizados.es/es-es/i/513-padel-club-u36/","N/A"
"Fit Point | Pádel","","Polígono de, Son Morro, Carrer Son Morro, 10, 07007, Palma de Mallorca","+34971127520","padel@fitpoint.es","https://padelizados.es/es-es/i/526-fit-point-padel/","N/A"
"Carol Foresti Pádel Trainer","","Avinguda de Joan Miró, 138, 07015, Palma de Mallorca","+34633877266","carolforesti@gmail.com","https://padelizados.es/es-es/i/1437-carol-foresti-padel-trainer/","N/A"
"Césped artificial Baleares","","Camí de Muntanya, 7, 07141, Palma de Mallorca","+34648547343","info@cespedartificialbaleares.es","https://padelizados.es/es-es/i/1442-cesped-artificial-baleares/","N/A"
"TM Tenis y Padel Palma","","Carrer de Bartomeu Xamena, s/n, 07610, Palma de Mallorca","+34605492649","20info@tmtenisypadelpalma.es","https://padelizados.es/es-es/i/993-tm-tenis-y-padel-palma/","N/A"
"Padel La Salle","","Camí de Son Rapinya, 29, 07013, Palma de Mallorca","+34658883610","","https://padelizados.es/es-es/i/836-padel-la-salle/","N/A"
"Pàdel Son Valentí","","Carrer de la Maquinària, 13, 07011, Palma de Mallorca","+34699636875","","https://padelizados.es/es-es/i/779-padel-son-valenti/","N/A"
"tenis y padel palmanyola","","Avinguda de les Dàlies, 35, 07193, Palma de Mallorca","+34971617999","","https://padelizados.es/es-es/i/833-tenis-y-padel-palmanyola/","N/A"
"A2 Sports Padel Mallorca","","Castilla La Mancha, 6, 07011, Palma de Mallorca","+34649799699","contacto@a2sportspadel.com","https://padelizados.es/es-es/i/903-a2-sports-padel-mallorca/","N/A"
"The Academy Softee Pádel","","Carrer de Joan Coromines, 30, 07141, Palma de Mallorca","+34611170478","","https://padelizados.es/es-es/i/974-the-academy-softee-padel/","N/A"
"Pista de Pàdel i Bàsquet","","07181, Palma de Mallorca","","","https://padelizados.es/es-es/i/1485-pista-de-padel-i-basquet/","N/A"
"Padeltys Academia","","KM5,2, Camí Vell de Bunyola, 07009, Palma de Mallorca","+34653186090","","https://padelizados.es/es-es/i/1619-padeltys-academia/","N/A"
