"Nombre","Pistas","Dirección","Teléfono","Correo","Página Web","Plataforma de Reserva"
"Padel Club Mallorca","8 pistas dobles (césped azul WPT)","Carrer George Sand, 40, 07007 Palma de Mallorca","+34 669 599 012","","https://padelclubmallorca.com/","Playtomic"
"Pins Padel Club","16 pistas (14 dobles, 9 cubiertas, 2 individuales)","Carrer Lluís Ferbal, 7, 07014 Palma de Mallorca","+34 971 450 574","info@pinspadelclub.es","https://www.pinspadelclub.es/","Web Propia / Playtomic"
"Palma Padel","12 pistas dobles (4 cubiertas) + 4 individuales","Carrer Castellà la Manxa, 6, 07013 Palma de Mallorca","","","https://palmapadel.es/","Playtomic"
"Mallorca Pádel Indoor","6 pistas indoor","Carrer Gremi Velluters, 19, 07009 Son Castelló, Palma de Mallorca","+34 971 678 900","","https://www.mallorcapadelindoor.com/","Playtomic / Web Propia"
"Padel La Salle","4 pistas dobles outdoor","Camí de Son Rapinya, 29, 07013 Palma de Mallorca","","","https://www.playtomic.app/","Playtomic"
"Fit Point Pádel","Pistas cubiertas","Carrer Son Morro, 10, Pol. Son Morro, 07007 Palma de Mallorca","+34 971 127 520","","https://fitpointpadel.es/","Web Propia / Playtomic"
"Padel Factory Son Castelló","Pistas de alta calidad","Carrer Gremi Teixidors, 3, 07009 Son Castelló, Palma de Mallorca","","","https://www.padelfactory.es/","Playtomic"
"Pádel Indoor La Porciúncula","10 pistas indoor","Camí del Palmer, 16, 07600 Platja de Palma","+34 722 63 42 71","info@padelindoorlaporciuncula.com","https://playtomic.app/","Playtomic"
"Patronato Palma","3 pistas dobles + 1 individual","Carrer Montevideo, 6, 07006 Palma de Mallorca","","","https://www.playtomic.app/","Playtomic"
"Tenis y Pádel Son Rigo","Pistas de pádel + tenis","Carrer de la Mar del Japó, 2, 07610 Platja de Palma","","","https://www.playtomic.app/","Playtomic"
