Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Etxabakoitz Udal Kiroldegia","","C. de San Raimundo, s/n, 31009, Pamplona","+34948251073","dpo@gfmservicios.com","https://padelizados.es/es-es/i/978-etxabakoitz-udal-kiroldegia/","N/A"
"ONPADELCLUB","","Calle a, Nave 33, 31192, Pamplona","+34621426362","info@onpadelclub.es","https://padelizados.es/es-es/i/589-onpadelclub/","N/A"
"Navarra Padel","","C. Cam. de Labiano, 49, 31191, Pamplona","+34948104545","info@navarrapadel.com","https://padelizados.es/es-es/i/283-navarra-padel/","N/A"
"IMPACT PADEL SPORT","","Calle G, 43, 31191, Pamplona","+34638870412","","https://padelizados.es/es-es/i/463-impact-padel-sport/","N/A"
"Tray Padel Club","","Calle a, 66, 31192, Pamplona","+34948233117","info@labandejapadel.com","https://padelizados.es/es-es/i/484-tray-padel-club/","N/A"
"Pegaso Pádel Club","","Polígono Iturrondo, 17, 31600, Burlada / Burlata","+34630579957","","https://padelizados.es/es-es/i/1538-pegaso-padel-club/","N/A"
"On Padel club","","Pol. nº, Calle a, 33, 31192, Mutilva","+34621426362","info@onpadelclub.es","https://padelizados.es/es-es/i/529-on-padel-club/","N/A"
"Pablo Semprún Sport Center","","C. Intxaurdia, 5, 31620, Valle de Egüés / Eguesibar","+34615625378","olgam@optimasportmedia.com","https://padelizados.es/es-es/i/568-pablo-semprun-sport-center/","N/A"
"Pádel Reyno de Navarra","","C. E, 1, 31191, Beriáin","+34623377939","","https://padelizados.es/es-es/i/259-padel-reyno-de-navarra/","N/A"
"Sangüesa Padel","","Pol. Ind. de Rocaforte, A3, 31400, Aranguren","","youraddress@mail.com","https://padelizados.es/es-es/i/1569-sanguesa-padel/","N/A"
