"Nombre","Pistas","Dirección","Teléfono","Correo","Página Web","Plataforma de Reserva"
"0,0 Pádel","","Rúa Gutemberg, 30, 15008, A Coruña","+34981906000","ceroceropadel@gmail.com","https://padelizados.es/es-es/i/193-00-padel/","N/A"
"Apartamentos Canabal","","MERA OLEIROS, Rua Canabal, 1, 15177, A Coruña","+34667282812","ronaldcanabal@gmail.com","https://padelizados.es/es-es/i/1212-apartamentos-canabal/","N/A"
"Padel Feáns Gorrión","","Carr. de Feáns, 170, 15190, A Coruña","+34981101010","padelfeans@hotmail.com","https://padelizados.es/es-es/i/303-padel-feans-gorrion/","N/A"
"Pádel & Beer","","Avenida Finisterre, 269, 15008, A Coruña","+34698111282","padelandbeer@gmail.com","https://padelizados.es/es-es/i/253-padel-beer/","N/A"
"Arena Padel","","Rúa Alcalde Jaime Hervada, 27, 15010, A Coruña","+34681391352","arenapadel2.0@gmail.com","https://padelizados.es/es-es/i/285-arena-padel/","N/A"
"Coruña Sport Centre","","R. Enrique Mariñas Romero, 32, F, 15009, A Coruña","+34981100213","patri@tex45.es","https://padelizados.es/es-es/i/558-coruna-sport-centre/","N/A"
"Padelprix Coruña","","Rúa Brasil, 6, 15140, Arteixo","+34678660009","info@padelprix.com","https://padelizados.es/es-es/i/434-padelprix-coruna/","N/A"
"Padelprix Cerceda","","Campo de Fútbol O Roxo, Lugar Piñeiro, 58, 15185, Cerceda","+34677428652","cerceda@padelprix.com","https://padelizados.es/es-es/i/1063-padelprix-cerceda/","N/A"
"3D3 Padel","","Rúa Cobre, parcela H-19, 15107, Carballo","+34680438692","info@3d3padel.com","https://padelizados.es/es-es/i/382-3d3-padel/","N/A"
"Indoorland","","Campollano, C. D, 3, 02007, Albacete","+34967770017","info@indoorland.es","https://padelizados.es/es-es/i/878-indoorland/","N/A"
"+Que Padel","","Pol. Ind. Campollano, C. D, 26, 02007, Albacete","+34967049236","info@masquepadelab.com","https://padelizados.es/es-es/i/357-que-padel/","N/A"
"AN Padel Indoor","","C. Pintor Rosales, 12, 03009, Alicante","+34640866265","anpadelindoor@hotmail.com","https://padelizados.es/es-es/i/155-an-padel-indoor/","N/A"
"Deportes Match","","Calle Dr. Isidoro de Sevilla, 86, 03009, Alicante","+34965420082","info@deportesmatch.com","https://padelizados.es/es-es/i/748-deportes-match/","N/A"
"Sportclub Alicante - Gimnasio y club deportivo familiar al aire libre","","Partida de Orgegia, s/n, 03015, Alicante","+34966613906","info@sportclubalicante.com","https://padelizados.es/es-es/i/733-sportclub-alicante-gimnasio-y-club-deportivo-familiar-al-aire-libre/","N/A"
"Club Atlético Montemar","","Carrer Virgili, 25, 03016, Alicante","+34965159426","info@camontemar.com","https://padelizados.es/es-es/i/55-club-atletico-montemar/","N/A"
"Club Deportivo Arena Alicante","","Av. del Locutor Vicente Hipólito, s/n, 03540, Alicante","+34965943406","info@arenaalicante.com","https://padelizados.es/es-es/i/92-club-deportivo-arena-alicante/","N/A"
"Bela Padel Center Alicante","","Av. del Locutor Vicente Hipólito, S/N, 03540, Alicante","+34638928847","info.alicante@belapadelcenter.com","https://padelizados.es/es-es/i/1135-bela-padel-center-alicante/","N/A"
"Padel Nostrum Alicante","","Av. Mare Nostrum, 6, 03007, Alicante","+34633882525","cpnostrum@gmail.com","https://padelizados.es/es-es/i/1131-padel-nostrum-alicante/","N/A"
"Pedreguer Pàdel Cobert","","Av. les Indústries, 28, 03750, Alicante","+34615377568","pedreguerpadelcobert@gmail.com","https://padelizados.es/es-es/i/1217-pedreguer-padel-cobert/","N/A"
"Club de Tenis Alacant","","C. Med Jorge Serrano Mate, 21, 03112, Alicante","+34679014766","iner@inerenergia.es","https://padelizados.es/es-es/i/462-club-de-tenis-alacant/","N/A"
"Club De Tenis Ch2 La Marina | Tennis & Padel","","Sendero de la Barrina, s/n, 03580, Alicante","+34622674996","chcontreras@ch2racket.com","https://padelizados.es/es-es/i/1294-club-de-tenis-ch2-la-marina-tennis-padel/","N/A"
"Spain Padel Experiences","","C. Arpón, 13, 03540, Alicante","+34641374661","contact@spainpadelexperiences.com","https://padelizados.es/es-es/i/1081-spain-padel-experiences/","N/A"
"Section Tennis Club Swimming Almería","","Cam. Jaúl Bajo, 3, 04007, Almería","+34950222579","info@cnalmeria.com","https://padelizados.es/es-es/i/178-section-tennis-club-swimming-almeria/","N/A"
"ProPadel Indoor Club","","C. Benitagla, 42, 04007, Almería","+34613954095","propadelindoorclub@gmail.com","https://padelizados.es/es-es/i/1119-propadel-indoor-club/","N/A"
"Club de Mar Almería","","C. Ángel Jover, 1, 04007, Almería","+34950230780","cmaac@clubdemaralmeria.es","https://padelizados.es/es-es/i/534-club-de-mar-almeria/","N/A"
"Padel Aguadulce","","Pl. Caribe, 2, 04720, Almería","+34608819955","clubdepadelaguadulce48@gmail.com","https://padelizados.es/es-es/i/425-padel-aguadulce/","N/A"
"Escuela Pádel Almería","","C. Benitagla, 42, 04007, Almería","+34639452925","escuelapadelalmeria@gmail.com","https://padelizados.es/es-es/i/1112-escuela-padel-almeria/","N/A"
"ALMERIA TENNIS CLUB","","Av. de la Alpujarra, 5, 04230, Huércal de Almería","+34950300104","deportes@clubdetenisalmeria.com","https://padelizados.es/es-es/i/275-almeria-tennis-club/","N/A"
"La Cubierta Padel","","C. Plateros, 4, 04738, Vícar","+34950100323","lacubiertapadel@gmail.com","https://padelizados.es/es-es/i/330-la-cubierta-padel/","N/A"
"Camping Prados Abiertos in Gredos","","Camping Prados Abiertos, N-502, km 72, 05410, Ávila","+34608800207","info@pradosabiertos.com","https://padelizados.es/es-es/i/871-camping-prados-abiertos-in-gredos/","N/A"
"ZACAPADEL","","C. Cesteros, 6A, 28680, San Martín de Valdeiglesias","+34692189245","zacapadel@gmail.com","https://padelizados.es/es-es/i/1313-zacapadel/","N/A"
"Padel Indoor Puente Real","","Av. de Elvas, 57, 06006, Badajoz","+34924434779","info@padelindoorpuentereal.es","https://padelizados.es/es-es/i/332-padel-indoor-puente-real/","N/A"
"Padel Indoor La Cañada","","km 300, Ctra. Valverde, 5, 06010, Badajoz","+34666720723","geslacanada@gmail.com","https://padelizados.es/es-es/i/520-padel-indoor-la-canada/","N/A"
"David Lloyd Turó","","Av. Diagonal, 673-685, 08028, Barcelona","+34933342012","Barcelona@davidlloyd.es","https://padelizados.es/es-es/i/605-david-lloyd-turo/","N/A"
"Nova Icària Esport & Fit","","Av. d'Icària, 167, 08005, Barcelona","+34932212580","sara@novaicaria.com","https://padelizados.es/es-es/i/226-nova-icaria-esport-fit/","N/A"
"Putxet Sport","","Carrer de Marmellà, 23, 08023, Barcelona","+34931151990","info@essenciaputxet.com","https://padelizados.es/es-es/i/860-putxet-sport/","N/A"
"Reial Societat de Tennis Pompeia","","Carrer de la Foixarda, 2, 16, 08038, Barcelona","+34933251348","administracion@rstpompeya.com","https://padelizados.es/es-es/i/211-reial-societat-de-tennis-pompeia/","N/A"
"DiR Hispà","","Carrer de Jorge Manrique, 15-19, 08035, Barcelona","+34934270050","info@dir.cat","https://padelizados.es/es-es/i/608-dir-hispa/","N/A"
"Club de Tennis i Pàdel Olímpia","","Carrer del Perú, 215, 08020, Barcelona","+34932662395","info@cemolimpia.com","https://padelizados.es/es-es/i/116-club-de-tennis-i-padel-olimpia/","N/A"
"Club Natació Sant Andreu","","Rambla de Fabra i Puig, 47, 08030, Barcelona","+34933456789","cursa@cnsantandreu.com","https://padelizados.es/es-es/i/591-club-natacio-sant-andreu/","N/A"
"CN Montjuïc","","Carrer del Segura, 36 | Accés peatonal per C/ De la Mare de Déu de port |, 08038, Barcelona","+34933318288","cnm@cnmontjuic.cat","https://padelizados.es/es-es/i/123-cn-montjuic/","N/A"
