Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Ipadel Fitness | Sport Club","","Avenida de Puxeiros, 86, 36416, Pontevedra","+34676565367","info@ipadelfitness.es","https://padelizados.es/es-es/i/93-ipadel-fitness-sport-club/","N/A"
"School Pádel Pontevedra","","Rúa Irlanda, 2, 36162, Pontevedra","+34692650223","Schoopadelpontevedra@outlook.com","https://padelizados.es/es-es/i/405-school-padel-pontevedra/","N/A"
"Padel Bao","","36005, Pontevedra","+34607563236","","https://padelizados.es/es-es/i/1192-padel-bao/","N/A"
"Club de Tenis e Pádel O Rial","","Rúa do Carballo, s/n, 36629, Pontevedra","+34986505198","info@clubtenisrial.com","https://padelizados.es/es-es/i/579-club-de-tenis-e-padel-o-rial/","N/A"
"Club De Tenis Pontevedra","","Rúa Illa de San Simón, 7, 36163, Pontevedra","+34986872999","escueladetenis@clubdetenispontevedra.es","https://padelizados.es/es-es/i/1252-club-de-tenis-pontevedra/","N/A"
"Pistas de pádel de Soutomaior","","EP-2908, 36, 36691, Soutomaior","+34986700964","","https://padelizados.es/es-es/i/1627-pistas-de-padel-de-soutomaior/","N/A"
"SETE PIAS PADEL","","Sete Pias, Poligono industrial, Rúa Concepción Arenal, 6, 36635, Cambados","+34621406071","","https://padelizados.es/es-es/i/1084-sete-pias-padel/","N/A"
"Pistas de pádel de Redondela","","36800, Redondela","","","https://padelizados.es/es-es/i/1399-pistas-de-padel-de-redondela/","N/A"
"Pádel Morrazo","","Polígono Industrial de, Av. Castiñeiras, Parcela 7, 36939, Bueu","+34610718721","","https://padelizados.es/es-es/i/1505-padel-morrazo/","N/A"
"Nave Pádel Cangas","","Rúa Estrada da Magdalena, 110, 36949, Cangas","+34644105557","","https://padelizados.es/es-es/i/1490-nave-padel-cangas/","N/A"
"Padel Villagarcía","","Rúa Patiño, 24, 36613, Vilagarcía de Arousa","","","https://padelizados.es/es-es/i/626-padel-villagarcia/","N/A"
"Máis que Auga","","Rúa Urania Mella Serrano, s/n, 36205, Vigo","+34986407245","","https://padelizados.es/es-es/i/742-mais-que-auga/","N/A"
"Win Pádel Club","","Av. da Ponte, 80, 36215, Vigo","+34609780731","","https://padelizados.es/es-es/i/658-win-padel-club/","N/A"
"Vigo Padel","","Estrada Ponte Segade-Sárdoma, 29, 36214, Vigo","+34986093543","","https://padelizados.es/es-es/i/466-vigo-padel/","N/A"
"Padel Stop","","Cam. Devesa, 1, 36214, Vigo","+34986425192","","https://padelizados.es/es-es/i/499-padel-stop/","N/A"
"Twelve Padel Zenter Vigo","","Estrada Fragosiño, 30, 36214, Vigo","+34986841797","12padelzenter@gmail.com","https://padelizados.es/es-es/i/180-twelve-padel-zenter-vigo/","N/A"
"Saquesport","","Camiño da Igrexa, 39, 36416, Vigo","+34609100819","pedidos@saquesport.es","https://padelizados.es/es-es/i/1621-saquesport/","N/A"
"Podium Win","","Av. da Florida, 159, BAJO, 36210, Vigo","+34986247466","","https://padelizados.es/es-es/i/1421-podium-win/","N/A"
"Rec Padel","","Cño. do Caramuxo, 52, 36213, Vigo","+34986632499","recfitnesspadel@gmail.com","https://padelizados.es/es-es/i/673-rec-padel/","N/A"
"CASTELO PADEL CLUB SPORT&FOOD","","N-120, KM 637, 36879, Salceda de Caselas","+34627209476","","https://padelizados.es/es-es/i/881-castelo-padel-club-sportfood/","N/A"
"Complexo Deportivo Álvaro Pino","","Rúa Real, 1, 36860, Ponteareas","+34986644757","info@complejodeportivoalvaropino.com","https://padelizados.es/es-es/i/791-complexo-deportivo-alvaro-pino/","N/A"
"Estrada Padel","","Rúa Figueroa de Arriba, nº 51, 36680, A Estrada","+34666351597","","https://padelizados.es/es-es/i/1312-estrada-padel/","N/A"
"Boiropadel","","Polígono Industrial de Espiñeira, Parcela 18, 15930, Boiro","+34680635184","info@boiropadel.com","https://padelizados.es/es-es/i/1275-boiropadel/","N/A"
"Ureca Padel Club","","Rúa Manuel Lemos, 124, 36379, Nigrán","+34986367860","oficina@ureca.es","https://padelizados.es/es-es/i/1111-ureca-padel-club/","N/A"
"DEZA PADEL CENTER","","Polígono Area 33 de Silleda, Rua Vial, 2, 36543, Silleda","+34665820310","","https://padelizados.es/es-es/i/1269-deza-padel-center/","N/A"
