Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Campo de Tiro y Deportes de Salamanca","","C/ Joaquín Rodrigo, 49, 37008, Salamanca","+34633072684","info@campotiro.es","https://padelizados.es/es-es/i/877-campo-de-tiro-y-deportes-de-salamanca/","N/A"
"Enjoy! Aldehuela - Ciudad Deportiva Aldehuela","","Av. de la Aldehuela, S/N, 37003, Salamanca","+34923090518","","https://padelizados.es/es-es/i/663-enjoy-aldehuela-ciudad-deportiva-aldehuela/","N/A"
"Padelhome","","AVENIDA RIO TORMES, Ctra. a Vega de Salamanca, 5, 37185, Salamanca","+34636287355","","https://padelizados.es/es-es/i/372-padelhome/","N/A"
"Padel Palace - Salamanca","","Calz. Toro, 23, 37184, Villares de la Reina","+34923204118","","https://padelizados.es/es-es/i/453-padel-palace-salamanca/","N/A"
"Padel You","","C. Conde Orgaz, s/n, 37005, Salamanca","+34645001110","","https://padelizados.es/es-es/i/514-padel-you/","N/A"
"Pádel Charro","","Av. de Lasalle, 173, 37008, Salamanca","+34672525925","","https://padelizados.es/es-es/i/1086-padel-charro/","N/A"
"CEP pádel","","C. Juan de la Cierva, 4, 37188, Carbajosa de la Sagrada","+34675937572","","https://padelizados.es/es-es/i/1430-cep-padel/","N/A"
"Club Padel Time","","C. de Francisco Bonet, 4, 37188, Carbajosa de la Sagrada","+34620422105","","https://padelizados.es/es-es/i/553-club-padel-time/","N/A"
"Catedral Pádel Club S.L.","","???? catedralpadelclub@gmail.com, ☎️ +34 634 343 705, C. Primera, 41, 37188, Carbajosa de la Sagrada","+34634343705","catedralpadelclub@gmail.com","https://padelizados.es/es-es/i/419-catedral-padel-club-s-l/","N/A"
"Club Pádel El Viñal","","Urb. Almacenes, C/ Duero, 8, Sector A1, 37184, Villares de la Reina","+34923228534","padelelvinal@gmail.com","https://padelizados.es/es-es/i/517-club-padel-el-vinal/","N/A"
"Padel Master School","","C. Vertical 8a, 17, 37188, Carbajosa de la Sagrada","","","https://padelizados.es/es-es/i/1041-padel-master-school/","N/A"
"Pádel Indoor Salamanca","","C. Vertical 8a, nº17, 37188, Carbajosa de la Sagrada","+34600456768","direcciondeportivavictor@gmail.com","https://padelizados.es/es-es/i/231-padel-indoor-salamanca/","N/A"
"Centro Deportivo Moriscos - Cabrerizos Tennis Club","","C. Villares, 14, 37430, Moriscos","","","https://padelizados.es/es-es/i/1369-centro-deportivo-moriscos-cabrerizos-tennis-club/","N/A"
