Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"AS Pádel Club","","CL-607, 13, 40196, Segovia","+34667073377","aspadelescuela@gmail.com","https://padelizados.es/es-es/i/736-as-padel-club/","N/A"
"PÁDEL FACTORY","","C. los Gremios Segovianos, 3, 40195, Segovia","+34673918832","","https://padelizados.es/es-es/i/544-padel-factory/","N/A"
"Espacio tierra","","40196, La Lastrilla","+34921525058","info@espaciotierra.es","https://padelizados.es/es-es/i/498-espacio-tierra/","N/A"
"PADDLE CLUB FOUR INDOOR","","C. Ciprés, 206, 40140, Valverde del Majano","+34620516040","info@padelfour.com","https://padelizados.es/es-es/i/1204-paddle-club-four-indoor/","N/A"
"Peñalara Pádel","","C. Prta del Campo, 40100, Real Sitio de San Ildefonso","+34921470118","","https://padelizados.es/es-es/i/657-penalara-padel/","N/A"
"Ciudad Deportiva Wanda","","Otero de Herreros,Segovia, 40424, Los Ángeles de San Rafael","+34921195800","","https://padelizados.es/es-es/i/1384-ciudad-deportiva-wanda/","N/A"
"Club de pádel PyT Collado Mediano","","P.º de los Rosales, 61, 28450, Collado Mediano","+34918598845","starvie@starvie.com","https://padelizados.es/es-es/i/693-club-de-padel-pyt-collado-mediano/","N/A"
"Club de Pádel PPT","","P.º la Alameda, 39, 28440, Guadarrama","+34682490082","contacto@padelwarrior.es","https://padelizados.es/es-es/i/721-club-de-padel-ppt/","N/A"
"Palas club padel","","C. Granito, 12, 28412, Cerceda","+34695217987","","https://padelizados.es/es-es/i/1230-palas-club-padel/","N/A"
"PADEL INDOOR CERCEDA","","Calle Granito nº1, Poligono Industrial Puente Madrid, 28412, Cerceda","+34918529176","","https://padelizados.es/es-es/i/1016-padel-indoor-cerceda/","N/A"
"Club de Tenis Guadarrama","","C. Olimpia, 1, 28440, Guadarrama","+34617334149","","https://padelizados.es/es-es/i/1288-club-de-tenis-guadarrama/","N/A"
"Padel Seasons","","Cam. de Alpedrete, 58, 28411, Moralzarzal","+34683353007","","https://padelizados.es/es-es/i/1523-padel-seasons/","N/A"
"Piscina municipal de Gargantilla del Lozoya y Pinilla de Buitrago","","Gargantilla del Lozoya y Pinilla de Buitrago C/ Pino, 54, 28739, San Agustín de Guadalix","+34918695013","blanca@aguastranquilas.com","https://padelizados.es/es-es/i/1461-piscina-municipal-de-gargantilla-del-lozoya-y-pinilla-de-buitrago/","N/A"
"Restaurante Solycampo S.L","","C. Peralejo, s/n, 28792, Miraflores de la Sierra","+34918443751","20info@solycampo.es","https://padelizados.es/es-es/i/112-restaurante-solycampo-s-l/","N/A"
"IGM Academy","","C. Mirador del Moncayo, 28400, Collado Villalba","+34648103816","info@igmacademy.es","https://padelizados.es/es-es/i/985-igm-academy/","N/A"
"Club Tenis y Padel Soto del Real","","C. Egidillo, 28791, Soto del Real","+34665600847","","https://padelizados.es/es-es/i/819-club-tenis-y-padel-soto-del-real/","N/A"
"Bee Padel (C/Bronce)","","Calle Bronce, 4, C. del Oro, 8, 28770, Colmenar Viejo","+34639447174","","https://padelizados.es/es-es/i/1101-bee-padel-cbronce/","N/A"
"The fourth set Padel Indoor","","Polígono Industrial Sur, C. del Oro, 22, 28770, Colmenar Viejo","+34608749373","info@elcuartoset.com","https://padelizados.es/es-es/i/1054-the-fourth-set-padel-indoor/","N/A"
