Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"GOLF COSTA DAURADA TARRAGONA SPORTS CENTER","","Ctra. Catllar, Km 2,7, 43007, Tarragona","+34977653361","hola@golfcostadaurada.com","https://padelizados.es/es-es/i/612-golf-costa-daurada-tarragona-sports-center/","N/A"
"Tarragona Pàdel Indoor","","Pol. Ind. Francolí, 10, 43006, Tarragona","+34638967632","info@tarragonapadelindoor.es","https://padelizados.es/es-es/i/152-tarragona-padel-indoor/","N/A"
"MesK Padel Tarragona","","43006, Tarragona","+34654494368","dionis@meskpadeltarragona.com","https://padelizados.es/es-es/i/227-mesk-padel-tarragona/","N/A"
"Padel Indoor Baix Penedès","","Avinguda Bellvei, 43719, Tarragona","+34977592385","","https://padelizados.es/es-es/i/1082-padel-indoor-baix-penedes/","N/A"
"Club de Tennis El Romaní","","Passeig Dr. Letamendi, Urb. Romaní, 5, 43700, Tarragona","+34660229595","ctromani@ctromani.com","https://padelizados.es/es-es/i/1276-club-de-tennis-el-romani/","N/A"
"Centre Esportiu del Delta","","Avinguda Canal, 0, 43580, Tarragona","+34977489695","ajuntament@deltebre.cat","https://padelizados.es/es-es/i/1319-centre-esportiu-del-delta/","N/A"
"Pistes de pàdel - Castellvell del Camp","","Av. de la Camêlia, 43392, Tarragona","+34977855008","","https://padelizados.es/es-es/i/1510-pistes-de-padel-castellvell-del-camp/","N/A"
"Global padel vilaseca","","Carrer dels Matalassers, 8, h6, 43204, Reus","+34977271101","recepcio@globalpadelsports.com","https://padelizados.es/es-es/i/137-global-padel-vilaseca/","N/A"
"Pavelló Municipal d'Esports El Morell","","Av. dels Països Catalans, 6, 43760, El Morell","+34977842700","consergeriapavello@morell.alta","https://padelizados.es/es-es/i/1380-pavello-municipal-desports-el-morell/","N/A"
"Club Tennis i Pàdel El Catllar","","C/ del Requet, 43764, El Catllar","+34652867947","clubtenniselcatllar@gmail.com","https://padelizados.es/es-es/i/1008-club-tennis-i-padel-el-catllar/","N/A"
"TENNIS PÀDEL TAMARIT","","Urb. La Mora, Carrer Foixarda, S/N, 43008, Altafulla","+34699832050","infojungletrek@gmail.com","https://padelizados.es/es-es/i/577-tennis-padel-tamarit/","N/A"
"Mas Passamaner","","Camí de la Serra, 52, 43470, La Selva del Camp","+34977766333","hotel@maspassamaner.com","https://padelizados.es/es-es/i/606-mas-passamaner/","N/A"
"Pàdelx4 Reus","","Carrer de Faió, 7, 43204, Reus","+34695366170","padelx4reus@gmail.com","https://padelizados.es/es-es/i/1153-padelx4-reus/","N/A"
"Padel indoor Reus","","Carrer del Camí de Valls, 98, 43204, Reus","+34699088381","domenecsanroma@gmail.com","https://padelizados.es/es-es/i/1160-padel-indoor-reus/","N/A"
"Pádel Gaudí Reus Golf Club","","Ctra. de Cambrils, km 1.8, 43206, Reus","+34977752725","reservas@gaudigolfclub.com","https://padelizados.es/es-es/i/1497-padel-gaudi-reus-golf-club/","N/A"
"Tennis i Pàdel | Reus Deportiu","","El Camí dels Cinc Ponts, 1-3, 43206, Reus","+34977331824","secretaria@reusdeportiu.es","https://padelizados.es/es-es/i/575-tennis-i-padel-reus-deportiu/","N/A"
"Pàdel Manyanet Reus","","Carrer del Pare Manyanet, 27, 43205, Reus","+34640169844","info@padelmanyanet.com","https://padelizados.es/es-es/i/1599-padel-manyanet-reus/","N/A"
"EURO LLEVANT","","Carrer del Camí del Más de Clariana, 6, 43850, Cambrils","+34977383563","","https://padelizados.es/es-es/i/1483-euro-llevant/","N/A"
"Club Tennis Reus Monterols","","Ctra. de Reus a Cambrils, km 1, 43206, Reus","+34977751560","info@tennismonterols.cat.","https://padelizados.es/es-es/i/176-club-tennis-reus-monterols/","N/A"
"Apolo Club Esportiu","","Carrer del Migdia, 43830, Torredembarra","+34633104102","info@apoloclub.cat","https://padelizados.es/es-es/i/230-apolo-club-esportiu/","N/A"
"TennisTDB","","Carrer del Crisantem, 43830, Torredembarra","+34692048066","info@tennistdb.cat","https://padelizados.es/es-es/i/1280-tennistdb/","N/A"
"Pàdel Reus","","Carrer d'Ignasi Iglésias, 30 - 32, 43206, Reus","+34977086636","","https://padelizados.es/es-es/i/560-padel-reus/","N/A"
"Club Padel Cambrils","","Av. Bèlgica, 1, 43850, Cambrils","+34977364320","info@misitio.com","https://padelizados.es/es-es/i/95-club-padel-cambrils/","N/A"
"Club de Tenis Valls","","Carretera de Valls a Tarragona, km 16, 43144, Vallmoll","+34649085620","info.tennisvalls@gmail.com","https://padelizados.es/es-es/i/851-club-de-tenis-valls/","N/A"
"Pàdel Puigpelat","","Carrer de Vilabella, S/N, 43812, Puigpelat","+34696816064","","https://padelizados.es/es-es/i/1303-padel-puigpelat/","N/A"
"Mar Cambrils Club & Big Jump Park","","Carrer Valls, 2, 43850, Cambrils","+34659849505","contact@mysite.com","https://padelizados.es/es-es/i/1243-mar-cambrils-club-big-jump-park/","N/A"
"Restaurant El Quincho Mar Cambrils","","Carrer Valls, 2, 43850, Cambrils","+34666377672","","https://padelizados.es/es-es/i/910-restaurant-el-quincho-mar-cambrils/","N/A"
"Club Tennis Plana d'en Berga de Valls","","Carrer Reina Elionor, 25, 43800, Valls","+34977608042","info@planadenberga.com","https://padelizados.es/es-es/i/538-club-tennis-plana-den-berga-de-valls/","N/A"
"Bará Tennis Club","","Av. de la Reina Fabiola, 49, 43883, El Vendrell","+34977801836","","https://padelizados.es/es-es/i/304-bara-tennis-club/","N/A"
"Pistes de pàdel","","43814, Vila-rodona","","","https://padelizados.es/es-es/i/1486-pistes-de-padel/","N/A"
"Club Padel Y Tenis Comarruga","","Av. Masia Blanca, 19, 43880, Coma-ruga","+34682040810","info@ctpcomarruga.com","https://padelizados.es/es-es/i/267-club-padel-y-tenis-comarruga/","N/A"
"AG Padel Team","","Carrer de Colom, 20I, 43700, El Vendrell","+34656713527","","https://padelizados.es/es-es/i/1366-ag-padel-team/","N/A"
