Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"AN Padel Indoor","","C. Pintor Rosales, 12, 03009, Alicante","+34640866265","anpadelindoor@hotmail.com","https://padelizados.es/es-es/i/155-an-padel-indoor/","N/A"
"Deportes Match","","Calle Dr. Isidoro de Sevilla, 86, 03009, Alicante","+34965420082","info@deportesmatch.com","https://padelizados.es/es-es/i/748-deportes-match/","N/A"
"Sportclub Alicante - Gimnasio y club deportivo familiar al aire libre","","Partida de Orgegia, s/n, 03015, Alicante","+34966613906","info@sportclubalicante.com","https://padelizados.es/es-es/i/733-sportclub-alicante-gimnasio-y-club-deportivo-familiar-al-aire-libre/","N/A"
"Club Atlético Montemar","","Carrer Virgili, 25, 03016, Alicante","+34965159426","info@camontemar.com","https://padelizados.es/es-es/i/55-club-atletico-montemar/","N/A"
"Club Deportivo Arena Alicante","","Av. del Locutor Vicente Hipólito, s/n, 03540, Alicante","+34965943406","info@arenaalicante.com","https://padelizados.es/es-es/i/92-club-deportivo-arena-alicante/","N/A"
"Bela Padel Center Alicante","","Av. del Locutor Vicente Hipólito, S/N, 03540, Alicante","+34638928847","info.alicante@belapadelcenter.com","https://padelizados.es/es-es/i/1135-bela-padel-center-alicante/","N/A"
"Club de Tenis Alacant","","C. Med Jorge Serrano Mate, 21, 03112, Alicante","+34679014766","iner@inerenergia.es","https://padelizados.es/es-es/i/462-club-de-tenis-alacant/","N/A"
"Club De Tenis Ch2 La Marina | Tennis & Padel","","Sendero de la Barrina, s/n, 03580, Alicante","+34622674996","chcontreras@ch2racket.com","https://padelizados.es/es-es/i/1294-club-de-tenis-ch2-la-marina-tennis-padel/","N/A"
"Spain Padel Experiences","","C. Arpón, 13, 03540, Alicante","+34641374661","contact@spainpadelexperiences.com","https://padelizados.es/es-es/i/1081-spain-padel-experiences/","N/A"
"Vall Parc: Club de Padel y Tenis en Barcelona","","Carretera de l' Arrabassada, 107, 127, 08035, Barcelona","+34932126789","info@vallparc.com","https://padelizados.es/es-es/i/64-vall-parc-club-de-padel-y-tenis-en-barcelona/","N/A"
"David Lloyd Turó","","Av. Diagonal, 673-685, 08028, Barcelona","+34933342012","barcelona@davidlloyd.es","https://padelizados.es/es-es/i/605-david-lloyd-turo/","N/A"
"Nova Icària Esport & Fit","","Av. d'Icària, 167, 08005, Barcelona","+34932212580","sara@novaicaria.com","https://padelizados.es/es-es/i/226-nova-icaria-esport-fit/","N/A"
"Putxet Sport","","Carrer de Marmellà, 23, 08023, Barcelona","+34931151990","info@essenciaputxet.com","https://padelizados.es/es-es/i/860-putxet-sport/","N/A"
"Reial Societat de Tennis Pompeia","","Carrer de la Foixarda, 2, 16, 08038, Barcelona","+34933251348","administracion@rstpompeya.com","https://padelizados.es/es-es/i/211-reial-societat-de-tennis-pompeia/","N/A"
"DiR Hispà","","Carrer de Jorge Manrique, 15-19, 08035, Barcelona","+34934270050","info@dir.cat","https://padelizados.es/es-es/i/608-dir-hispa/","N/A"
"Artós Sports Club","","Carrer dels Vergós, 67, 08017, Barcelona","+34931162118","info@artossportsclub.com","https://padelizados.es/es-es/i/139-artos-sports-club/","N/A"
"Club de Tennis i Pàdel Olímpia","","Carrer del Perú, 215, 08020, Barcelona","+34932662395","info@cemolimpia.com","https://padelizados.es/es-es/i/116-club-de-tennis-i-padel-olimpia/","N/A"
"Club Natació Sant Andreu","","Rambla de Fabra i Puig, 47, 08030, Barcelona","+34933456789","cursa@cnsantandreu.com","https://padelizados.es/es-es/i/591-club-natacio-sant-andreu/","N/A"
"CN Montjuïc","","Carrer del Segura, 36 | Accés peatonal per C/ De la Mare de Déu de port |, 08038, Barcelona","+34933318288","cnm@cnmontjuic.cat","https://padelizados.es/es-es/i/123-cn-montjuic/","N/A"
"Vip Pàdel Vilanova","","Can Rabassa, Camí de Vilassar, S/N, 08410, Barcelona","+34936394826","info@vippadelvilanova.com","https://padelizados.es/es-es/i/1128-vip-padel-vilanova/","N/A"
"Tennis Pineda Gavà","","Camí del Pinar, s/n, 08850, Barcelona","+34936330643","tenispineda@tenispineda.com","https://padelizados.es/es-es/i/272-tennis-pineda-gava/","N/A"
"Indoor Pàdel Barcelona","","Carrer de Veneçuela, 78, 08019, Barcelona","+34606091725","dpo.cliente@conversia.es","https://padelizados.es/es-es/i/937-indoor-padel-barcelona/","N/A"
"Meiland","","Carrer de la Maternitat d'Elna, 1, 08035, Barcelona","+34931767606","hola@meiland.es","https://padelizados.es/es-es/i/724-meiland/","N/A"
"CEM Maresme","","Carrer de Pallars, 484, 08019, Barcelona","+34933083553","info@cemmaresme.com","https://padelizados.es/es-es/i/1095-cem-maresme/","N/A"
"Pàdel Santa Susanna","","Carrer Lluis Maria Albin Sola, s/n, 08398, Barcelona","+34606121281","info@padelss.com","https://padelizados.es/es-es/i/334-padel-santa-susanna/","N/A"
"Liga de Pádel Barcelona","","Via Augusta, nº 147, 08021, Barcelona","+34633542663","hola@ligadepadelbarcelona.com","https://padelizados.es/es-es/i/1308-liga-de-padel-barcelona/","N/A"
"Siesports","","Carrer Quimica, Pol. Ind. Sant Vicenç, 16, 08755, Barcelona","+34695995327","siesports@siesports.cat","https://padelizados.es/es-es/i/461-siesports/","N/A"
"Pàdel Indoor Gironella","","Bassacs Carretera, 3B, 08680, Barcelona","+34623225887","info@padelindoorgironella.cat","https://padelizados.es/es-es/i/1219-padel-indoor-gironella/","N/A"
"The Padel Box","","Carrer Maria Barrientos, 8, 08028, Barcelona","","hello@thepadelbox.es","https://padelizados.es/es-es/i/782-the-padel-box/","N/A"
