Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Zona de Pádel","","C/ de Salvador Cerveró, 24, 46025, Valencia","+34962071946","tienda@zonadepadel.es","https://padelizados.es/es-es/i/53-zona-de-padel/","N/A"
"SUMA Fitness Club ALFAFAR | Gimnàs i Pàdel a València","","C. Manuel Baixauli Andrés, S/N, 46910, Valencia","+34961843560","holaalfafar@sumafitnessclub.com","https://padelizados.es/es-es/i/593-suma-fitness-club-alfafar-gimnas-i-padel-a-valencia/","N/A"
"Devesa Gardens Camping & Resort","","Carretera de El Saler, Km. 13, 46012, Valencia","+34961611136","info@devesagardens.com","https://padelizados.es/es-es/i/567-devesa-gardens-camping-resort/","N/A"
"Club de Tenis de Bellreguard","","Carretera Playa, km 2,5, 46713, Bellreguard, Valencia, Valencia","+34962818550","info@clubdetenisbellreguard.com","https://padelizados.es/es-es/i/934-club-de-tenis-de-bellreguard/","N/A"
"Tu Pádel Valencia","","Carrer dels Fogainers, 5, 46014, Valencia","+34622559943","info@tupadelvalencia.com","https://padelizados.es/es-es/i/213-tu-padel-valencia/","N/A"
"Polideportivo de Malilla","","Carrer de Bernat Descoll, 21, 46026, Valencia","+34960018776","info@artossportsclub.com","https://padelizados.es/es-es/i/654-polideportivo-de-malilla/","N/A"
"Pádel Sedavi","","Av. Azagador de la Torre, 13, 46026, Valencia","+34645887353","info@padelsedavi.com","https://padelizados.es/es-es/i/299-padel-sedavi/","N/A"
"7 Pàdel","","Polígon Industrial de, Carrer dels Llanterners, 6, 46014, Valencia","+34615071010","info@padel.com","https://padelizados.es/es-es/i/75-7-padel/","N/A"
"Club Valenciano de Natación","","Camino Viejo de Carpesa a Moncada, sn, 46025, Valencia","+34961850360","escuelas.vacacionales@ucv.es","https://padelizados.es/es-es/i/141-club-valenciano-de-natacion/","N/A"
"Orven Sport Palas de pádel","","Passeig Penyal d'Ifach, 46980, Valencia","+34664136864","contacto@gmail.com","https://padelizados.es/es-es/i/511-orven-sport-palas-de-padel/","N/A"
"Enjoy Samaranch","","Av. de França, 62, 46023, Valencia","+34963289140","","https://padelizados.es/es-es/i/681-enjoy-samaranch/","N/A"
"Pistas de pádel","","Carrer de Campillo de Altobuey, 10-14, 46022, Valencia","+34963389086","","https://padelizados.es/es-es/i/1464-pistas-de-padel/","N/A"
"Ligas Pádel Valencia","","Carrer del Baró de Patraix, 17, 12 12, 46018, Valencia","+34965028221","ligaspadelvalencia@gmail.com","https://padelizados.es/es-es/i/1067-ligas-padel-valencia/","N/A"
"Pistas de pádel","","46009, Valencia","+34963400490","","https://padelizados.es/es-es/i/1605-pistas-de-padel/","N/A"
"Club de Pádel Carpesa DLX","","Cam. Carpesa Moncada, 2, 46025, Valencia","+34961850360","","https://padelizados.es/es-es/i/1106-club-de-padel-carpesa-dlx/","N/A"
"Pistes de pàdel UPV","","Unnamed Road, 46022, 46022, Valencia","","","https://padelizados.es/es-es/i/1592-pistes-de-padel-upv/","N/A"
