Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Club Raqueta Valladolid","","C. Padre José Acosta, 2, 47015, Valladolid","+34983632005","","https://padelizados.es/es-es/i/185-club-raqueta-valladolid/","N/A"
"Pádel Arena Valladolid","","N-601, 184, Valladolid","+34983272378","","https://padelizados.es/es-es/i/215-padel-arena-valladolid/","N/A"
"Club Lasa Sport","","Carr. de Rueda, 187, 47008, Valladolid","+34983247110","","https://padelizados.es/es-es/i/147-club-lasa-sport/","N/A"
"The Players","","C. Vázquez de Menchaca, 23, 47008, Valladolid","+34660209600","","https://padelizados.es/es-es/i/319-the-players/","N/A"
"-","","Cam. Bajo Laguna, 25, 47193, Valladolid","+34606756619","","https://padelizados.es/es-es/i/1225--/","N/A"
"Zaratán Padel Indoor","","Av. de Gijón, km 195, 47610, Valladolid","+34693068405","info@zaratanpadelindoor.com","https://padelizados.es/es-es/i/543-zaratan-padel-indoor/","N/A"
"CDO Covaresa | Tu club de deporte y ocio en Valladolid","","C. Felipe Sánchez Román, s/n, 47008, Valladolid","+34983114131","","https://padelizados.es/es-es/i/703-cdo-covaresa-tu-club-de-deporte-y-ocio-en-valladolid/","N/A"
"Pádel Las Norias","","Parque de las Norias de Sta. Victoria, 47008, Valladolid","+34648236803","lasnorias@padelcyl.es","https://padelizados.es/es-es/i/1216-padel-las-norias/","N/A"
"PadelMagic","","C. Plomo, 5, nave 6, 47012, Valladolid","+34615520003","info@padelmagic.es","https://padelizados.es/es-es/i/1549-padelmagic/","N/A"
"Pistas municipales de pádel","","C. Río Ebro, 47162, Valladolid","+34983558367","","https://padelizados.es/es-es/i/1587-pistas-municipales-de-padel/","N/A"
"Padeld10z","","C. Industrias, 7, 47195, Arroyo de la Encomienda","+34983070970","webmaster@padeld10z.com","https://padelizados.es/es-es/i/235-padeld10z/","N/A"
"Safra","","C. Industrias, 26, 47195, Arroyo de la Encomienda","+34619405445","","https://padelizados.es/es-es/i/957-safra/","N/A"
"Pistas Municipales de Pádel de Renedo de Esgueva","","47170, Renedo de Esgueva","","","https://padelizados.es/es-es/i/1557-pistas-municipales-de-padel-de-renedo-de-esgueva/","N/A"
"Gustavo Pratto Academy","","Gta. la Flecha, 47195, Arroyo de la Encomienda","+34682536398","academy@gustavopratto.com","https://padelizados.es/es-es/i/1496-gustavo-pratto-academy/","N/A"
"Social Torrelago Wellness Club, Laguna de Duero","","Av. de Las Salinas, 1, 47140, Laguna de Duero","+34663987758","","https://padelizados.es/es-es/i/1354-social-torrelago-wellness-club-laguna-de-duero/","N/A"
"La Lonja del Pádel","","C. Cerezo, 19C, 47193, Cistérniga","+34695911941","","https://padelizados.es/es-es/i/949-la-lonja-del-padel/","N/A"
"Xperience Sport Club","","Av. de Aranzana, 49, 47195, Arroyo de la Encomienda","+34983488406","arroyoxperience@gmail.com","https://padelizados.es/es-es/i/1141-xperience-sport-club/","N/A"
"Pádel Live Indoor","","C. Brezo, 25, 47162, Aldeamayor de San Martín","+34683619375","","https://padelizados.es/es-es/i/638-padel-live-indoor/","N/A"
"Padel Top","","C. Mateo Alemán, 58, 47130, Arroyo de la Encomienda","+34605769939","","https://padelizados.es/es-es/i/515-padel-top/","N/A"
"TODOPADEL","","Pol. Ind., 264, 34200, Venta de Baños","+34979770092","p90@hotmail.es","https://padelizados.es/es-es/i/680-todopadel/","N/A"
