"Nombre","Pistas","Dirección","Teléfono","Correo","Página Web","Plataforma de Reserva"
"Twelve Padel Zenter Vigo","12 pistas indoor","Estrada Fragosiño, 30, Sárdoma, 36214 Vigo","+34 986 84 17 97 / 645 01 67 42","12padelzenter@gmail.com","http://www.twelvepadelzenter.com/","Playtomic / App Propia"
"Máster Pádel Zenter","11 pistas indoor","Rúa de Saá do Monte, 15, 36312 Vigo","+34 747 73 24 30","12padelzenter@gmail.com","N/A (Grupo Twelve)","Playtomic / App Propia"
"Ipadel Fitness | Sport Club","11 pistas panorámicas indoor (10D + 1I)","Avenida de Puxeiros, 86, Cabral, 36416 Mos","+34 676 56 53 67 / 986 47 10 10","info@ipadelfitness.es","https://ipadelfitness.es/","Playtomic / Web Propia"
"Win Pádel Club","Pistas cubiertas premium","Av. da Ponte, 80, Cabral, 36215 Vigo","+34 609 78 07 31","info@winpadelclub.com (Vía web)","https://winpadelclub.com/","Playtomic"
"Vigo Pádel","Pistas cubiertas climatizadas","Estrada Ponte Segade-Sárdoma, 29, 36214 Vigo","+34 986 09 35 43","info@vigopadel.com","http://www.vigopadel.com/","Playtomic / Web Propia"
"ARENGA PADEL CLUB","4 pistas indoor (Césped Mondo WPT)","Camiño da Devesa, 1, Sárdoma, 36214 Vigo","+34 986 42 51 92 / 608 802 499","info@arenga.es","http://www.arenga.es/","Playtomic"
"Indoorvigo club de padel","5 pistas indoor (4 dobles y 1 individual)","Camiño Gandariña, 19, Nave 6, Lavadores, 36214 Vigo","+34 986 26 18 15","indoor@indoorvigo.com","http://www.indoorvigo.com/","Web Propia / Teléfono"
"Rec Fitness & Padel Club","4 pistas (3 cubiertas, 1 exterior techada)","Cño. do Caramuxo, 52, 36213 Vigo","+34 986 63 24 99 / 616 79 83 04","recfitnesspadel@gmail.com","http://www.recfitness.es/","Playtomic"
"Máis que Auga Barreiro","8 pistas (5 cubiertas, 3 muro exteriores)","Rúa de Barreiro, 99, 36214 Vigo","+34 986 26 47 44","barreiro@maisqueauga.com","https://maisqueauga.com/","Playtomic / Web Propia"
"Máis que Auga Navia","8 pistas indoor (7 dobles, 1 individual)","Rúa de Lamelas, s/n, 36212 Vigo","+34 986 24 74 44","navia@maisqueauga.com","https://maisqueauga.com/","Playtomic / Web Propia"
"Círculo Cultural Mercantil e Industrial de Vigo","8 pistas de pádel cubiertas (cristal y muro)","Estrada das Plantas, 121, 36214 Vigo","+34 986 43 33 44","deportes@circulomercantilvigo.com","https://circulomercantilvigo.com/","App Socios / Zona No Socios Web"
"Real Club Náutico de Vigo (Instalaciones Los Abetos)","7 pistas de pádel (4 indoor, 3 outdoor)","Camiño dos Abetos, s/n, 36350 Priegue, Nigrán","+34 986 36 61 00 / 986 44 74 41","oficinas@rcnauticovigo.com","http://www.rcnauticovigo.com/","Gestión Interna Socios / Teléfono"
"Club de Campo de Vigo","7 pistas de pádel exteriores","Estrada de Canido, 95, Coruxo, 36331 Vigo","+34 986 46 03 50","info@clubdecampodevigo.com","https://www.clubdecampodevigo.com/","Exclusivo Socios / Teléfono"
"URECA ABANCA","5 pistas de pádel cubiertas","Avenida Manuel Lemos, 124, 36379 Nigrán","+34 986 36 78 60","oficina@ureca.es","https://www.ureca.es/","App Reservas URECA / Web"
"Complexo Deportivo de Samil (Municipal IMD)","Pistas de pádel de césped artificial al aire libre","Avenida de Samil, 32, 36212 Vigo","+34 986 24 15 79 / 986 81 02 95","concelleriadeportes@vigo.org","https://deportes.vigo.org/","Web Concello de Vigo (IMD) / Teléfono"
