Nombre,Pistas,Dirección,Teléfono,Correo,Página Web,Plataforma de Reserva
"Club Pádel Zaragoza","","C. de San Juan Bautista de la Salle, 1, 50012, Zaragoza","+34876776622","oficina@arapadel.com","https://padelizados.es/es-es/i/98-club-padel-zaragoza/","N/A"
"Padel Indoor Square","","Av. de la Diag., 3, Nave c, 50197, Zaragoza","+34876768478","info@padelplaza.es","https://padelizados.es/es-es/i/96-padel-indoor-square/","N/A"
"Regal Club Padel Zaragoza","","CC Alcampo Los Enlaces, N-II, KM 315, 2, Local 31, 50012, Zaragoza","+34976300003","rrhh@regalpadelclub.com","https://padelizados.es/es-es/i/113-regal-club-padel-zaragoza/","N/A"
"Urban Sport","","SPORT HUB, C. de Augusto Bebel, 16, 50015, Zaragoza","+34638289240","info@usport.es","https://padelizados.es/es-es/i/785-urban-sport/","N/A"
"Helios Swimming Center","","Av. de José Atarés, 1, 50018, Zaragoza","+34976520255","socios@cnhelios.com","https://padelizados.es/es-es/i/65-helios-swimming-center/","N/A"
"Club deportivo MONTECANAL","","C. de la Mesta, s/n, 50012, Zaragoza","+34976755800","cdmontecanal@cdmontecanal.com","https://padelizados.es/es-es/i/298-club-deportivo-montecanal/","N/A"
"Padel Indoor Aragón","","Cam. la Raya, s/n, 50002, Zaragoza","+34685653762","info@padelindooraragon.com","https://padelizados.es/es-es/i/238-padel-indoor-aragon/","N/A"
"Metropolitan Paraiso","","Residencial Paraíso, 10, 50008, Zaragoza","+34976221998","","https://padelizados.es/es-es/i/1046-metropolitan-paraiso/","N/A"
"Piscinas Balsas Ebro Viejo","","C. del Teniente Ortiz de Zárate, 10, 50015, Zaragoza","+34976511730","crevpiscinas@gmail.com","https://padelizados.es/es-es/i/1175-piscinas-balsas-ebro-viejo/","N/A"
"Open padel","","C. Espliego, 40, 50820, Zaragoza","+34660882016","","https://padelizados.es/es-es/i/440-open-padel/","N/A"
"Parque Deportivo Ebro","","Parque Deportivo Ebro, Cam. de Monzalbarba, 318, 50011, Zaragoza","+34639454506","","https://padelizados.es/es-es/i/757-parque-deportivo-ebro/","N/A"
"White Gym","","Cam. Almotilla, 1, 50012, Zaragoza","+34976557371","info@whitegym.es","https://padelizados.es/es-es/i/1263-white-gym/","N/A"
"Entrenador Personal y Dietista - Roberto Simón","","Rda. del Ibón de Plan, 24, 50011, Zaragoza","+34686326597","soko00gs@gmail.com","https://padelizados.es/es-es/i/1424-entrenador-personal-y-dietista-roberto-simon/","N/A"
"AllPadel","","50002, Zaragoza","+34628291653","","https://padelizados.es/es-es/i/1374-allpadel/","N/A"
"Zaragoza Pádel Club","","C. Genoveva Torres Morales, 50006, Zaragoza","+34976795533","info@zaragozapadelclub.es","https://padelizados.es/es-es/i/986-zaragoza-padel-club/","N/A"
